`1.`:flag_ca:`Jaypin88             2420`
`2.`:flag_us:`TRLittleToaster      2139`
`3.`:flag_us:`ShesChardcore        1924`
`4.`:flag_ca:`Akuretaki            1687`
`5.`:flag_ru:`daff                 1234`
`6.`:flag_us:`Otterstone_Gamer     1231`
`7.`:flag_br:`FelipeNascimento83   1108`
`8.`:flag_us:`adward1               879`
`9.`:flag_us:`JoePulito             832`
`10.`:flag_gr:`pocogamer            827`
`11.`:flag_us:`Act_                 803`
`12.`:flag_us:`smartalec24          771`
`13.`:flag_jp:`killerkun...         717`
`14.`:flag_ru:`zalex                692`
`15.`:flag_vh:`zir0nic              654`
`16.`:flag_us:`Zambrini             646`
`17.`:flag_jp:`DBcade               636`
`18.`:flag_ar:`PullMatrox           609`
`19.`:flag_ca:`Comical_             576`
`20.`:flag_pl:`Darrel69             546`
`21.`:flag_us:`Cmdr                 521`
`22.`:flag_us:`MortimerNova         520`
`23.`:flag_us:`Dugongue             514`
`24.`:flag_gr:`Cytruss              508`
`25.`:flag_vh:`Naegi                483`
`26.`:flag_tr:`AslanTZ              481`
`27.`:flag_us:`Peanutfan22          464`
`28.`:flag_br:`LordParoah           463`
`29.`:flag_ar:`Funado               451`
`30.`:flag_eo:`NihilistComedyHour   445`
`31.`:flag_br:`RitaH                439`
`32.`:flag_us:`Luvbaseball58        433`
`33.`:flag_ca:`7H3                  429`
`34.`:flag_th:`Zanum                424`
`35.`:flag_us:`Fioresa              417`
`36.`:flag_sg:`supercrazestar       401`
`37.`:flag_us:`afnannen136          397`
`38.`:flag_fr:`DracaarysTrophy      388`
`39.`:flag_pl:`Tegron               385`
`40.`:flag_ki:`fku_                 379`
`41.`:flag_us:`WookiesLA420         375`
`42.`:flag_us:`Jubilee              362`
`43.`:flag_us:`NerdyNester          360`
`44.`:flag_us:`CaptNinja6           352`
`45.`:united_nations:`B0SSCAT              351`
`46.`:united_nations:`baldnate             348`
`47.`:flag_gb:`Elims                342`
`48.`:flag_pl:`kamil2050            331`
