`1.`:flag_ca:`Jaypin88             2277`
`2.`:flag_us:`TRLittleToaster      1884`
`3.`:flag_us:`ShesChardcore        1021`
`4.`:flag_br:`FelipeNascimento83    784`
`5.`:flag_gr:`pocogamer             767`
`6.`:flag_us:`smartalec24           693`
`7.`:flag_us:`JoePulito             681`
`8.`:flag_ca:`Akuretaki             626`
`9.`:flag_us:`adward1               591`
`10.`:flag_ru:`zalex                582`
`11.`:flag_us:`Act_                 522`
`12.`:flag_jp:`DBcade               487`
`13.`:flag_us:`MortimerNova         469`
`14.`:flag_us:`Otterstone_Gamer     447`
`15.`:flag_jp:`killerkun...         416`
`16.`:flag_ru:`daff                 407`
`17.`:flag_br:`RitaH                392`
`18.`:flag_vh:`Naegi                383`
`19.`:flag_gr:`Cytruss              358`
`19.`:flag_ar:`PullMatrox           358`
`21.`:flag_us:`Zambrini             342`
`22.`:flag_vh:`zir0nic              340`
`23.`:flag_ca:`Comical_             327`
`24.`:flag_us:`Dugongue             306`
`25.`:flag_eo:`NihilistComedyHour   291`
`25.`:united_nations:`B0SSCAT              291`
`27.`:flag_pl:`Darrel69             285`
`28.`:flag_ar:`Funado               279`
`29.`:flag_tr:`AslanTZ              278`
`30.`:united_nations:`infinitemystery      270`
`31.`:flag_us:`afnannen136          261`
`32.`:flag_us:`Peanutfan22          257`
`33.`:flag_es:`JuegAriel            251`
`34.`:flag_br:`LordParoah           248`
`35.`:flag_us:`JSR_                 239`
`36.`:flag_sg:`supercrazestar       236`
`37.`:united_nations:`baldnate             234`
`38.`:flag_aw:`Teoinator            217`
`39.`:flag_us:`Jubilee              209`
`40.`:flag_ca:`Walgrey              207`
`41.`:flag_us:`authorblues          199`
`42.`:flag_us:`YoBGS                198`
`43.`:flag_us:`CaptNinja6           192`
`44.`:flag_us:`Aymbaut              191`
`45.`:flag_us:`NerdyNester          186`
`46.`:flag_us:`DarthTyrael          185`
`47.`:flag_ca:`7H3                  177`
`48.`:flag_gb:`Elims                176`
`48.`:flag_ki:`fku_                 176`
`48.`:flag_us:`Toad22484            176`
`51.`:flag_it:`ivanpaduano          174`
`52.`:flag_us:`Caidren              172`
`53.`:flag_kr:`HIKARU               171`
`54.`:flag_pl:`Tegron               169`
`54.`:flag_pl:`kamil2050            169`
`56.`:flag_us:`Fioresa              166`
`57.`:flag_kr:`plank                162`
`58.`:flag_gb:`ViperUK              161`
`59.`:flag_us:`VyPr                 158`
`59.`:flag_ua:`Pikachu              158`
`61.`:flag_us:`Luvbaseball58        157`
`62.`:flag_us:`lackattack           156`
`63.`:flag_us:`PeterAfro            154`
`64.`:united_nations:`RantronBomb          152`
`65.`:flag_us:`Ecdycis              150`
`66.`:flag_ca:`Rayquaza911          146`
`66.`:flag_th:`Zanum                146`
`68.`:flag_us:`WookiesLA420         142`
`69.`:flag_us:`Bregermann           138`
`70.`:flag_us:`Benjams              137`
`71.`:flag_ru:`HosteL               136`
`72.`:flag_br:`LD_SPEEDRUNS         134`
`73.`:flag_us:`Cmdr                 133`
`74.`:flag_de:`MilkToast            132`
`75.`:flag_ca:`jojoretrogamer       126`
`75.`:flag_ca:`The_Retro_Challenger 126`
`77.`:flag_it:`dha                  124`
`78.`:flag_us:`mrcab55              121`
`78.`:flag_ru:`sWinTuZ              121`
`80.`:flag_ca:`MagicK               119`
`80.`:united_nations:`Daroach              119`
`82.`:flag_pl:`Megami_infini        118`
`83.`:flag_cl:`manticor5            116`
`83.`:flag_us:`buffalax             116`
`85.`:flag_us:`Oxknifer             114`
`86.`:flag_us:`jackzfiml            112`
`86.`:flag_ca:`Deln                 112`
`88.`:flag_es:`Kkntucara            108`
`88.`:flag_se:`WhatsFrog            108`
`90.`:flag_us:`AndreaRovenski       107`
`90.`:flag_aq:`Mattmatt             107`
`90.`:flag_us:`TDP_320              107`
`93.`:flag_us:`SRGTsilent           106`
`93.`:flag_us:`astrolite            106`
`93.`:flag_nl:`jensj56              106`
`96.`:flag_us:`McKiddy              105`
`96.`:flag_ca:`GrandMasterMario5000 105`
`98.`:flag_gb:`Punchy               104`
`98.`:flag_br:`Danimed              104`
`100.`:flag_ca:`4d9r                101`
`100.`:flag_ca:`NESCardinality      101`
`102.`:flag_gr:`TheNameless         100`
`102.`:flag_us:`Sundex              100`
`102.`:flag_us:`Nerd_Squared        100`
`102.`:flag_us:`ebloodycandy        100`
`106.`:flag_fi:`Lyren                99`
`107.`:flag_nl:`AardappelMASTER      97`
`108.`:flag_us:`GarbitheGlitcheress  96`
`108.`:flag_us:`P1ZZAC4T             96`
`108.`:flag_ca:`Vidtendo             96`
`108.`:flag_us:`Bokonon_Lives        96`
`112.`:flag_es:`Daxzz                95`
`112.`:flag_us:`FlannelKat           95`
`114.`:flag_ca:`DarQ                 94`
`114.`:flag_nl:`janglestorm          94`
`116.`:flag_fr:`DracaarysTrophy      93`
`116.`:flag_gb:`StarrlightSims       93`
