`1.`:flag_ao:`stathx               3700`
`2.`:flag_ca:`Akuretaki            2210`
`3.`:flag_ru:`daff                 1923`
`4.`:flag_es:`Daxzz                1640`
`5.`:flag_br:`FelipeNascimento83   1466`
`6.`:flag_us:`Fioresa              1408`
`7.`:flag_nr:`Shinboy              1096`
`8.`:flag_us:`dlimes13              965`
`9.`:flag_at:`rphxx                 909`
`10.`:flag_kr:`PigRank              750`
`11.`:flag_us:`adward1              733`
`12.`:flag_pt:`Bluestonex64         682`
`13.`:flag_ru:`Comrade_S            633`
`14.`:flag_jp:`Rupa                 552`
`15.`:flag_us:`Otterstone_Gamer     503`
`16.`:flag_no:`Lezzy                491`
`17.`:flag_nl:`jensj56              449`
`18.`:flag_au:`RygelXVI             440`
`19.`:flag_us:`Icysnowman           433`
`20.`:flag_de:`nasuper              417`
`21.`:flag_jp:`Temug                378`
`22.`:flag_ca:`N97_RVH              376`
`23.`:flag_fr:`Awake                370`
`24.`:flag_ca:`4d9r                 365`
`25.`:flag_us:`McKiddy              362`
`26.`:flag_ca:`Cads                 356`
`27.`:flag_us:`Aymbaut              354`
`28.`:flag_de:`RunStrafe            352`
`28.`:flag_us:`Perna64              352`
`30.`:flag_se:`Chainsawkitten       340`
`31.`:flag_jp:`killerkun...         328`
`32.`:flag_us:`Zambrini             311`
`33.`:flag_gb:`fwampy               309`
`34.`:flag_br:`LordParoah           307`
`35.`:flag_fi:`Toxcien              303`
`36.`:flag_vh:`Sizzyl               302`
`36.`:flag_aw:`Teoinator            302`
`38.`:flag_jp:`Val_JP               295`
`39.`:flag_ro:`duckle               292`
`40.`:flag_us:`FuriousFire201       290`
`41.`:flag_il:`Yarmiplay            287`
`42.`:flag_cz:`Wolt1x               284`
`42.`:flag_us:`CaneofPacci          284`
`44.`:flag_us:`DlemmoR              279`
`45.`:flag_us:`Dawgup               276`
`46.`:flag_us:`JDMI                 263`
`47.`:flag_us:`SRGTsilent           262`
`48.`:flag_hu:`Raid104              256`
`49.`:flag_de:`JKxWinG              252`
`50.`:united_nations:`Yuidesu              241`
`51.`:flag_fr:`Ninicodeme           235`
`52.`:flag_us:`Kinighos             229`
`53.`:flag_ru:`alex2007             228`
`54.`:flag_lv:`Blacksecret          227`
`55.`:flag_ru:`Meegz                225`
`56.`:flag_nl:`Mawfeen              224`
`57.`:flag_us:`OneCoolMan           220`
`58.`:flag_us:`Thomastd             219`
`59.`:flag_us:`WookiesLA420         216`
`60.`:flag_fi:`ALZERI28             215`
`61.`:flag_us:`ShesChardcore        210`
`62.`:flag_us:`slippy318            208`
`63.`:flag_us:`MetalString          205`
`64.`:flag_ca:`Polonxy              204`
`64.`:flag_ad:`Dangaster            204`
`66.`:flag_nl:`ssjoen               202`
`67.`:flag_se:`Jackeking            196`
`68.`:flag_us:`grnts                195`
`69.`:flag_ru:`flashhh              194`
`70.`:flag_us:`Act_                 192`
`71.`:flag_us:`THiEF_HD             191`
`71.`:flag_us:`Benjams              191`
`73.`:flag_us:`Gio1237              188`
`74.`:flag_us:`MrMountainMan        187`
`74.`:flag_bh:`PlatonicGuy          187`
`76.`:united_nations:`MaouYumisu           186`
`77.`:flag_au:`ZenKih               184`
`78.`:flag_es:`PabloDiazViolin      180`
`79.`:flag_fr:`Badaxis              179`
`80.`:flag_ca:`Tark                 176`
`81.`:flag_ca:`InsaneJetman         175`
`81.`:flag_ru:`zalex                175`
`83.`:flag_us:`Cmdr                 174`
`84.`:flag_ca:`Comical_             170`
`85.`:flag_us:`Wavuvi               168`
`86.`:flag_br:`felipereis11011      167`
`87.`:flag_us:`ZELLLOOO             166`
`88.`:flag_pl:`Shiro                165`
`89.`:flag_us:`Msbmteam             163`
`90.`:flag_us:`Tfresh               161`
`90.`:flag_us:`Gaming_64            161`
`92.`:flag_bh:`Khalooody            159`
`93.`:flag_sg:`supercrazestar       158`
`93.`:flag_us:`Zacc                 158`
`95.`:flag_ee:`mediaa               157`
`96.`:flag_us:`TheLemonyBard        155`
`97.`:flag_jp:`gotutiyan            154`
`98.`:united_nations:`Jaaay                149`
`99.`:united_nations:`silliest             148`
`99.`:flag_us:`Xeon                 148`
`99.`:flag_gb:`Pezzah               148`
`102.`:united_nations:`ripWSB              144`
`103.`:flag_it:`Niloquì             139`
`103.`:flag_vh:`TransparentBlue     139`
`105.`:flag_dk:`Sirbrute            135`
`106.`:flag_us:`DarkerLord16        133`
`107.`:flag_id:`aeryuu              132`
`108.`:united_nations:`InprisonedShadow    131`
`109.`:flag_gb:`CallBal             130`
`109.`:flag_us:`qwertylool          130`
`111.`:flag_au:`oNoobs              129`
`112.`:flag_us:`pilferspitfire      127`
`113.`:flag_us:`Frost20             126`
`113.`:flag_au:`mobius              126`
`115.`:flag_us:`ThrasherDBS         125`
`115.`:united_nations:`VanillaMndk         125`
`115.`:flag_rs:`unfried             125`
`118.`:flag_us:`lombre914           123`
`119.`:flag_de:`MarlonH8            122`
`120.`:flag_us:`BreadForBrunch      116`
`121.`:flag_gr:`Cytruss             115`
`121.`:flag_us:`themorgue           115`
`123.`:flag_tr:`AslanTZ             114`
`124.`:flag_vn:`SunShard            113`
`125.`:flag_us:`VyPr                112`
`126.`:flag_vn:`Tei                 111`
`126.`:flag_gb:`gayannabeth         111`
`128.`:flag_ki:`fku_                109`
`129.`:flag_us:`TuckerStudios       108`
`130.`:flag_pt:`PAULINHO_THE_GOAT   106`
`131.`:flag_us:`Jason2890           105`
`131.`:flag_ca:`GrandMasterMario5000105`
`133.`:flag_tr:`Vador               104`
`134.`:flag_se:`Nordanix            103`
`135.`:flag_ca:`JokerTropical       102`
`136.`:flag_gb:`Mortar               99`
`136.`:flag_it:`Pikalex04            99`
`138.`:flag_ee:`Uniwersal            98`
`139.`:flag_us:`Tech                 97`
`140.`:flag_pl:`Darrel69             96`
`140.`:flag_us:`astrolite            96`
`142.`:flag_us:`VegetaTheSaiyan8     94`
`143.`:flag_mx:`Slevanas             93`
`143.`:flag_fi:`TuplaPekoni          93`
`143.`:flag_us:`JeffLemon            93`
`143.`:flag_th:`Zanum                93`
`147.`:flag_ca:`valley172            92`
`148.`:flag_gb:`emrald               91`
`148.`:flag_us:`amazingpikachu_37    91`
`150.`:flag_us:`PrayingMantisKungFu  89`
`151.`:flag_se:`Ico                  87`
`151.`:flag_gb:`Lew                  87`
`151.`:united_nations:`headjakk             87`
`151.`:flag_us:`rocketfire           87`
`155.`:flag_cz:`Ewil                 86`
`155.`:flag_ru:`Brian                86`
`157.`:flag_br:`WagnerBrasil         85`
`157.`:flag_us:`kirbymastah          85`
`157.`:flag_vh:`Tron_Javolta         85`
`157.`:flag_no:`thisishowmymindworks 85`
`157.`:flag_vg:`KarixYT              85`
`162.`:flag_ca:`Th3on3C              84`
`162.`:flag_se:`MiBo                 84`
`164.`:flag_es:`Kkntucara            83`
`164.`:flag_us:`DemonStalker         83`
`166.`:flag_is:`Mipha                81`
`166.`:flag_gb:`Billy_Bob            81`
`168.`:flag_ca:`Amaz                 80`
`168.`:flag_ph:`Octo                 80`
`170.`:flag_us:`Spaceman             78`
`171.`:flag_us:`RbdJellyfish         76`
`172.`:flag_us:`Pear                 74`
`172.`:flag_de:`YTKoopaPlayer        74`
`174.`:flag_us:`froggy               73`
`175.`:flag_fr:`Vakala               72`
`176.`:flag_pt:`_hampter_            71`
`177.`:flag_us:`Alexo                70`
`177.`:flag_ar:`PullMatrox           70`
`177.`:flag_fr:`NewNickName0         70`
`180.`:flag_pl:`Tegron               68`
`180.`:flag_ar:`Phanton              68`
`182.`:flag_de:`Pronoob              67`
`182.`:flag_ru:`VehicleRonald        67`
`182.`:flag_us:`RileySFPc            67`
`185.`:flag_us:`WiiSuper             66`
`185.`:flag_kr:`galaxyTDS            66`
`185.`:united_nations:`Tac0                 66`
`188.`:flag_lb:`Gman369              65`
`189.`:flag_ca:`7H3                  64`
`189.`:flag_in:`eeh_eeh              64`
`191.`:flag_au:`Klooger              63`
`191.`:flag_us:`Ben_eXceL            63`
`191.`:flag_us:`jammitch             63`
`194.`:flag_fr:`neropse              62`
`195.`:flag_us:`Winslinator          60`
`195.`:flag_jp:`konitama             60`
`197.`:flag_gb:`LilJapKid            59`
`197.`:flag_au:`Habble               59`
`197.`:flag_aq:`Eclipsed             59`
`200.`:flag_ca:`Marc-André_Morin     58`
`200.`:flag_pl:`LupoLindsay          58`
`200.`:flag_fr:`makeal               58`
`200.`:flag_es:`KingBoo              58`
`204.`:united_nations:`Machs2Point0         57`
`205.`:flag_de:`Nordicboa            56`
`205.`:flag_us:`DylCat               56`
`205.`:flag_fi:`Tomatobird8          56`
`205.`:flag_us:`Raclesis             56`
`209.`:flag_us:`meauxdal             55`
`209.`:flag_us:`McThumbs             55`
`211.`:flag_us:`Milkyway2000         53`
`211.`:flag_us:`FlashGiant           53`
`211.`:flag_ca:`g0goTBC              53`
`211.`:flag_us:`Sl0thboy78YT         53`
`215.`:flag_vh:`zir0nic              52`
`215.`:flag_us:`totol                52`
`215.`:flag_fi:`Bloody               52`
`218.`:flag_us:`PoZitron             51`
`218.`:flag_ca:`ttpprr               51`
`220.`:flag_gb:`Elims                50`
`220.`:flag_kr:`plank                50`
`222.`:flag_eu:`HowDenKing           49`
`222.`:flag_ch:`Fireball             49`
`222.`:flag_cy:`Kwaol                49`
`225.`:flag_us:`Jubilee              48`
`225.`:flag_nl:`florrat2             48`
`225.`:flag_us:`Symystery            48`
`228.`:flag_us:`Ianwubby             47`
`228.`:flag_us:`AndreaRovenski       47`
`228.`:flag_us:`NinjaDelphox         47`
`228.`:flag_gb:`Mr.Blonde            47`
`228.`:united_nations:`Snake5               47`
`233.`:flag_ie:`Flewb                46`
`233.`:flag_eo:`Massive              46`
`235.`:flag_us:`TRLittleToaster      45`
`235.`:flag_ca:`bendersrus           45`
`235.`:flag_gb:`Really_Tall          45`
`235.`:flag_us:`Plywood              45`
`235.`:flag_us:`Pidgey               45`
