`1.`:flag_ca:`Jaypin88             1393`
`2.`:flag_ru:`Akuretaki             427`
`3.`:flag_gr:`pocogamer             426`
`4.`:flag_br:`FelipeNascimento83    346`
`4.`:flag_jp:`DBcade                346`
`6.`:flag_us:`Zambrini              286`
`7.`:flag_us:`ShesChardcore         283`
`7.`:flag_ar:`PullMatrox            283`
`9.`:united_nations:`BOSSCAT               242`
`10.`:flag_ro:`Bandi_               240`
`11.`:flag_jp:`killerkun...         213`
`12.`:flag_vh:`zir0nic              205`
`13.`:flag_us:`TRLittleToaster      200`
`14.`:flag_mq:`Teoinator            194`
`15.`:flag_us:`Aymbaut              186`
`16.`:flag_br:`RitaH                177`
`17.`:flag_us:`Act_                 176`
`18.`:flag_th:`Zanum                151`
`19.`:flag_us:`Jubilee              148`
`20.`:flag_it:`ivanpaduano          147`
`21.`:flag_ca:`Comical_             143`
`22.`:flag_ru:`daff                 142`
`23.`:flag_us:`grnts                137`
`24.`:flag_ca:`Walgrey              136`
`24.`:flag_us:`JoePulito            136`
`26.`:flag_us:`Fioresa              135`
`26.`:flag_tr:`AslanTZ              135`
`28.`:flag_us:`CaptNinja6           130`
`29.`:flag_us:`VyPr                 119`
`30.`:flag_us:`Otterstone_Gamer     113`
`31.`:flag_ru:`zalex                112`
`32.`:flag_us:`Benjams              110`
`33.`:flag_kr:`plank                109`
`34.`:flag_us:`Gaming_64            102`
`35.`:flag_ar:`Funado                99`
`36.`:flag_br:`LordParoah            98`
`37.`:flag_ru:`HosteL                94`
`38.`:flag_sg:`supercrazestar        93`
`39.`:flag_it:`dha                   88`
`40.`:flag_us:`WookiesLA420          83`
`40.`:flag_pl:`Tegron                83`
`42.`:flag_ru:`flashhh               82`
`43.`:flag_de:`katze789              79`
`44.`:flag_ca:`4d9r                  76`
`44.`:flag_gb:`ViperUK               76`
`46.`:flag_es:`Kkntucara             73`
`47.`:united_nations:`baldnate              70`
`48.`:flag_de:`MilkToast             66`
`49.`:flag_us:`MortimerNova          65`
`49.`:flag_fi:`Lyren                 65`
`49.`:flag_ca:`NESCardinality        65`
`52.`:flag_cl:`manticor5             64`
`53.`:flag_us:`Spaceman              62`
`53.`:flag_us:`Peanutfan22           62`
`53.`:flag_us:`jackzfiml             62`
`56.`:united_nations:`Daroach               58`
`57.`:flag_ca:`jojoretrogamer        57`
`58.`:flag_us:`P1ZZAC4T              54`
`59.`:flag_ph:`VentureMatical        53`
`60.`:flag_au:`werster               51`
`60.`:flag_us:`NerdyNester           51`
`62.`:flag_fi:`Tomatobird8           50`
`62.`:flag_ru:`flower                50`
`62.`:flag_ca:`Jorf                  50`
`65.`:flag_kr:`HIKARU                49`
`66.`:flag_pl:`Darrel69              48`
`66.`:flag_us:`astrolite             48`
`66.`:flag_us:`FlashGiant            48`
`66.`:flag_tf:`Merl_                 48`
`70.`:flag_pl:`kamil2050             47`
`70.`:flag_jp:`MXF                   47`
`70.`:flag_gb:`StarrlightSims        47`
`70.`:flag_gr:`TheNameless           47`
`70.`:flag_cy:`Kwaol                 47`
`75.`:flag_us:`SRGTsilent            46`
`75.`:flag_gb:`Elims                 46`
`75.`:flag_ca:`Rayquaza911           46`
`78.`:flag_ao:`stathx                45`
`79.`:flag_es:`Daxzz                 43`
`80.`:flag_br:`felipereis11011       42`
`80.`:flag_us:`Luvbaseball58         42`
`80.`:flag_us:`Oxknifer              42`
`83.`:flag_ru:`sWinTuZ               41`
`83.`:flag_us:`DarthTyrael           41`
`85.`:flag_nl:`ssjoen                40`
`86.`:flag_nl:`jensj56               39`
`86.`:flag_lv:`Blacksecret           39`
`86.`:flag_ru:`Comrade_Z             39`
`89.`:flag_us:`smartalec24           38`
`89.`:flag_us:`vandust               38`
`89.`:flag_ca:`GrandMasterMario5000  38`
`92.`:flag_us:`ThrasherDBS           37`
`92.`:flag_gb:`Punchy                37`
`92.`:flag_us:`DemonStalker          37`
`95.`:flag_us:`McKiddy               36`
`95.`:flag_ar:`Phanton               36`
`97.`:flag_pl:`Xdxboxjaja            34`
`98.`:flag_ru:`JosephHTobinJr        33`
`98.`:flag_ca:`MrCakers              33`
`98.`:flag_ua:`Pikachu               33`
`101.`:flag_cz:`Wolt1x               32`
`101.`:flag_au:`Tenka                32`
`101.`:flag_us:`Bregermann           32`
`104.`:flag_us:`Cmdr                 31`
`104.`:flag_ca:`Th3on3C              31`
`104.`:flag_us:`rusto                31`
`104.`:flag_gb:`fwampy               31`
`104.`:flag_us:`MasterCactaur        31`
`109.`:flag_us:`DylCat               30`
`109.`:flag_gb:`LunaSpeed            30`
`109.`:united_nations:`MaouYumisu           30`
`109.`:flag_us:`PeterAfro            30`
`109.`:flag_aq:`Mattmatt             30`
`109.`:flag_vn:`SunShard             30`
`115.`:flag_us:`JDMI                 29`
`115.`:flag_nl:`AardappelMASTER      29`
`115.`:flag_us:`THiEF_HD             29`
`115.`:flag_us:`Winslinator          29`
`115.`:flag_br:`WagnerBrasil         29`
`115.`:flag_ru:`VehicleRonald        29`
`115.`:flag_br:`GustavoPredador      29`
`115.`:flag_br:`JARP                 29`
`115.`:flag_ee:`mediaa               29`
`124.`:flag_eu:`HowDenKing           28`
`124.`:flag_us:`GarbitheGlitcheress  28`
`124.`:flag_us:`nicefighter          28`
`124.`:united_nations:`ripWSB               28`
`124.`:flag_us:`JSR_                 28`
`124.`:flag_eu:`rythin               28`
`124.`:flag_pt:`Bluestonex64         28`
`131.`:flag_us:`Dugongue             27`
`131.`:flag_us:`Sundex               27`
`131.`:flag_us:`TheReverserOfTime    27`
`134.`:flag_cl:`ParallaxMKChile      26`
`134.`:united_nations:`Tsov                 26`
`134.`:flag_us:`KendrickMeatRider69  26`
`137.`:flag_au:`Klooger              25`
`137.`:flag_sj:`Gardenia             25`
`137.`:flag_vh:`Naegi                25`
`137.`:flag_us:`lackattack           25`
`137.`:flag_br:`victu                25`
`142.`:flag_au:`diggity              24`
`142.`:flag_jp:`BellumZeldaDS        24`
`142.`:flag_us:`VegetaTheSaiyan8     24`
`142.`:flag_us:`RubberDuckyAssassin  24`
`142.`:flag_gb:`drgrumble            24`
`142.`:flag_ru:`Tam1d                24`
`142.`:united_nations:`hahhah42             24`
`142.`:flag_us:`bellring             24`
`150.`:flag_se:`Nordanix             23`
`150.`:flag_ca:`Polonxy              23`
`150.`:flag_lb:`Gman369              23`
`153.`:flag_us:`McThumbs             22`
`153.`:flag_us:`Ben_eXceL            22`
`153.`:flag_il:`Oreo321              22`
`153.`:flag_au:`Habble               22`
`153.`:flag_ca:`Marc-André_Morin     22`
`153.`:flag_fi:`Baconman12           22`
`153.`:flag_us:`PrayingMantisKungFu  22`
`153.`:flag_fr:`Sm_Izumi             22`
`161.`:flag_de:`Nimputs              21`
`161.`:flag_gr:`Cytruss              21`
`161.`:flag_mx:`Slevanas             21`
`161.`:flag_us:`Tfresh               21`
`161.`:flag_us:`AndreaRovenski       21`
`161.`:flag_se:`ominij               21`
`161.`:flag_kr:`Majoog               21`
`161.`:flag_us:`swordsmankirby       21`
`161.`:flag_us:`Bat                  21`
`161.`:flag_us:`Master9              21`
`161.`:flag_us:`Toad22484            21`
`161.`:flag_us:`Symystery            21`
`161.`:flag_br:`LD_SPEEDRUNS         21`
`174.`:flag_de:`RunStrafe            20`
`174.`:flag_ca:`bendersrus           20`
`174.`:flag_gb:`emrald               20`
`174.`:flag_ca:`DiabolicalCuber      20`
`174.`:flag_us:`Frikkinfriks14       20`
`174.`:flag_fr:`HopeTrash            20`
`180.`:flag_us:`dlimes13             19`
`180.`:flag_us:`CaneofPacci          19`
`180.`:flag_us:`Hydrus               19`
`180.`:flag_us:`kirbymastah          19`
`180.`:flag_gb:`debiangamer256       19`
`180.`:flag_se:`WhatsFrog            19`
`180.`:flag_br:`Metaller             19`
`180.`:flag_nl:`Eponumos             19`
`188.`:flag_vn:`Tei                  18`
`188.`:flag_eo:`NihilistComedyHour   18`
`188.`:flag_us:`Alexo                18`
`188.`:flag_ca:`FFRPro21             18`
`188.`:flag_us:`Ecdycis              18`
`188.`:flag_es:`JuegAriel            18`
`188.`:flag_de:`MarlonH8             18`
`188.`:flag_tf:`Bob-chicken          18`
`188.`:flag_ua:`pinkey               18`
`188.`:flag_us:`authorblues          18`
`188.`:flag_us:`FlannelKat           18`
`199.`:flag_us:`afnannen136          17`
`199.`:flag_us:`Rallis               17`
`199.`:flag_nl:`Riekelt              17`
`199.`:flag_ch:`Fireball             17`
`199.`:flag_ca:`Deln                 17`
`199.`:flag_us:`Kevy1885             17`
`199.`:flag_de:`berlindude1          17`
`199.`:flag_us:`NickDoane            17`
`199.`:flag_no:`DarkLink             17`
`199.`:flag_pl:`Newt_Salamander      17`
`199.`:flag_fr:`R0main               17`
`199.`:flag_au:`oNoobs               17`
`211.`:flag_us:`WiiSuper             16`
`211.`:flag_us:`Milkyway2000         16`
`211.`:flag_us:`DarkerLord16         16`
`211.`:flag_us:`Thog_n               16`
`211.`:flag_ca:`g0goTBC              16`
`211.`:flag_nl:`janglestorm          16`
`217.`:flag_us:`dantheman_6307       15`
`217.`:flag_us:`Pear                 15`
`217.`:flag_eu:`toca                 15`
`217.`:flag_gb:`Lew                  15`
`217.`:flag_cz:`Ewil                 15`
`217.`:flag_us:`roblox8192           15`
`217.`:flag_ca:`MagicK               15`
`217.`:flag_us:`TheLemonyBard        15`
`217.`:flag_ca:`ttpprr               15`
`217.`:flag_us:`PunchSh0t            15`
`217.`:flag_us:`Mars02               15`
`217.`:flag_br:`Santhy99             15`
`229.`:flag_nr:`Shinboy              14`
`229.`:flag_us:`slippy318            14`
`229.`:flag_vh:`Sizzyl               14`
`229.`:flag_gb:`TheJayJay            14`
`229.`:flag_au:`hsblue               14`
`229.`:flag_ca:`The_Retro_Challenger 14`
`229.`:united_nations:`Snake5               14`
`236.`:flag_us:`Frost20              13`
`236.`:flag_us:`Tech                 13`
`236.`:flag_bh:`Khalooody            13`
`236.`:flag_us:`Plywood              13`
`236.`:flag_ca:`Amaz                 13`
`236.`:flag_in:`eeh_eeh              13`
`236.`:flag_us:`XandoToaster         13`
