`1.`:flag_ru:`Akuretaki            6223`
`2.`:flag_us:`Otterstone_Gamer     3476`
`3.`:flag_jp:`killerkun...         3127`
`4.`:flag_ru:`daff                 2675`
`5.`:flag_us:`Act_                 2521`
`6.`:flag_us:`ShesChardcore        2100`
`7.`:flag_us:`Zambrini             2096`
`8.`:flag_us:`Fioresa              1957`
`9.`:flag_ao:`stathx               1955`
`10.`:flag_ca:`Comical_            1919`
`11.`:flag_br:`LordParoah          1822`
`12.`:flag_us:`FuriousFire201      1726`
`13.`:flag_us:`WookiesLA420        1681`
`14.`:flag_br:`FelipeNascimento83  1640`
`15.`:flag_ca:`Jaypin88            1579`
`16.`:flag_es:`Daxzz               1571`
`17.`:flag_ca:`4d9r                1422`
`18.`:flag_cz:`Wolt1x              1372`
`19.`:flag_us:`TRLittleToaster     1356`
`20.`:flag_us:`Gaming_64           1338`
`21.`:flag_us:`dlimes13            1296`
`22.`:flag_tr:`AslanTZ             1290`
`23.`:flag_nl:`jensj56             1285`
`24.`:flag_gb:`fwampy              1192`
`25.`:flag_ro:`Bandi_              1189`
`26.`:flag_us:`Sl0thboy78YT        1134`
`27.`:flag_gr:`pocogamer           1061`
`28.`:flag_br:`felipereis11011     1057`
`29.`:flag_ru:`zalex               1032`
`30.`:flag_us:`astrolite           1020`
`31.`:flag_pt:`Bluestonex64        1017`
`32.`:flag_us:`Benjams              975`
`33.`:flag_kr:`PigRank              941`
`34.`:flag_ar:`Funado               939`
`35.`:flag_us:`VyPr                 935`
`36.`:flag_us:`Aymbaut              920`
`37.`:flag_de:`RunStrafe            877`
`38.`:united_nations:`Snake5               827`
`39.`:flag_us:`Jubilee              782`
`40.`:flag_ru:`flashhh              767`
`41.`:flag_ro:`duckle               763`
`42.`:flag_es:`Kkntucara            758`
`43.`:flag_us:`grnts                736`
`44.`:flag_se:`Nordanix             728`
`45.`:flag_us:`ThrasherDBS          710`
`46.`:flag_at:`rphxx                686`
`47.`:flag_lv:`Blacksecret          684`
`48.`:flag_th:`Zanum                672`
`49.`:flag_vn:`Tei                  647`
`50.`:flag_sg:`supercrazestar       641`
`51.`:flag_nr:`Shinboy              638`
`52.`:flag_ru:`Comrade_Z            637`
`53.`:flag_id:`aeryuu               626`
`54.`:flag_nl:`ssjoen               610`
`55.`:flag_us:`SRGTsilent           602`
`56.`:flag_us:`MrMountainMan        599`
`57.`:flag_pl:`Shiro                583`
`58.`:flag_hu:`Raid104              534`
`59.`:flag_us:`Cmdr                 526`
`60.`:flag_ca:`Th3on3C              522`
`61.`:flag_gb:`Elims                520`
`62.`:flag_us:`McKiddy              502`
`63.`:united_nations:`silliest             498`
`64.`:flag_us:`Spaceman             497`
`65.`:flag_us:`THiEF_HD             454`
`65.`:flag_ad:`Dangaster            454`
`67.`:flag_gb:`emrald               448`
`68.`:flag_us:`JDMI                 446`
`69.`:flag_vh:`zir0nic              444`
`69.`:flag_vh:`Naegi                444`
`71.`:flag_pl:`Darrel69             440`
`72.`:flag_us:`themorgue            431`
`73.`:flag_jp:`BellumZeldaDS        429`
