`1.`:flag_jp:`DBcade                 442`
`2.`:flag_us:`Wolsk                  287`
`3.`:flag_us:`Storster               285`
`3.`:flag_gb:`Naloa                  285`
`5.`:flag_de:`MarvJungs              228`
`6.`:flag_fi:`Tomatobird8            227`
`7.`:flag_de:`FrostyZako             210`
`8.`:flag_us:`Spaceman               202`
`9.`:flag_us:`Ellimist               198`
`10.`:flag_us:`Otterstone_Gamer       192`
`11.`:flag_us:`sizzlingmario4         189`
`11.`:flag_us:`AndrewSM64             189`
`11.`:flag_us:`aussieadam             189`
`14.`:flag_mx:`DJ_Tala                188`
`14.`:flag_ar:`Phanton                188`
`16.`:flag_us:`Jubilee                162`
`17.`:flag_ca:`Walgrey                156`
`18.`:flag_ru:`sWinTuZ                150`
`19.`:flag_us:`TRLittleToaster        141`
`20.`:flag_us:`Peanutfan22            135`
`21.`:flag_us:`authorblues            132`
`21.`:flag_us:`YoYoYoDude1            132`
`23.`:flag_us:`JoePulito              126`
`24.`:flag_cn:`Daroach                121`
`25.`:flag_us:`Plumato                115`
`26.`:flag_kr:`plank                  105`
`26.`:flag_us:`Aquatavius             105`
`28.`:flag_gb:`conormcmahon           103`
`29.`:flag_ca:`NESCardinality         102`
`29.`:flag_us:`NerdyNester            102`
`31.`:flag_us:`T3tsuya                100`
`32.`:flag_sg:`supercrazestar          96`
`33.`:flag_br:`FelipeNascimento83      95`
`34.`:flag_au:`Tenka                   92`
`35.`:flag_us:`Act_                    87`
`36.`:flag_eo:`NihilistComedyHour      86`
`36.`:flag_bg:`Shiinyu                 86`
`38.`:flag_us:`MildGothDaddy           85`
`38.`:united_nations:`Mipha                   85`
`40.`:flag_aq:`Mattmatt                83`
`41.`:flag_cl:`manticor5               82`
`42.`:flag_ca:`Deln                    74`
`43.`:flag_it:`ivanpaduano             73`
`44.`:united_nations:`AprilSR                 72`
`44.`:flag_fi:`Lyren                   72`
`46.`:flag_us:`ROMaster2               70`
`46.`:flag_au:`Saiyanz                 70`
`46.`:flag_pl:`wortex                  70`
`49.`:flag_ro:`goldenONX               68`
`50.`:flag_us:`jackzfiml               66`
`51.`:united_nations:`bertin                  65`
`52.`:flag_ru:`Akuretaki               64`
`52.`:flag_us:`SRGTsilent              64`
`52.`:flag_us:`P1ZZAC4T                64`
`55.`:flag_it:`dha                     63`
`55.`:flag_us:`JokerFactor             63`
`55.`:flag_us:`SHiFT                   63`
`58.`:flag_pl:`Reni                    61`
`58.`:flag_jp:`killerkun...            61`
`58.`:flag_cz:`Ewil                    61`
