`1.`:flag_us:`FuriousFire201       4924`
`2.`:flag_ro:`duckle               2728`
`3.`:flag_se:`Nordanix             2341`
`4.`:flag_nl:`jensj56              2029`
`5.`:flag_us:`Cmdr                 1769`
`6.`:flag_us:`Fioresa              1759`
`7.`:flag_us:`dlimes13             1714`
`8.`:flag_us:`slippy318            1324`
`9.`:flag_jp:`killerkun...         1126`
`10.`:flag_de:`Nordicboa           1120`
`11.`:flag_us:`meauxdal            1033`
`12.`:flag_us:`Otterstone_Gamer    1020`
`13.`:flag_us:`WiiSuper             910`
`14.`:flag_ca:`Th3on3C              898`
`15.`:flag_ca:`Akuretaki            895`
`16.`:flag_nr:`Shinboy              862`
`17.`:flag_gb:`Vapo                 816`
`18.`:flag_us:`SRGTsilent           785`
`19.`:flag_us:`DlemmoR              774`
`20.`:united_nations:`headjakk             748`
`21.`:flag_cl:`manticor5            742`
`22.`:flag_us:`MrMountainMan        729`
`23.`:flag_us:`DylCat               719`
`24.`:flag_kr:`plank                690`
`25.`:flag_de:`katze789             688`
`25.`:flag_pl:`kamil2050            688`
`27.`:flag_us:`Ianwubby             683`
`28.`:flag_au:`Klooger              677`
`29.`:flag_us:`SHiFT                676`
`29.`:flag_th:`Zanum                676`
`31.`:flag_ch:`andypanther          669`
`32.`:flag_gb:`LunaSpeed            667`
`33.`:flag_us:`Luvbaseball58        664`
`34.`:flag_nl:`Kaopoke              660`
`35.`:flag_gb:`Hypnoshark           652`
`36.`:flag_ao:`stathx               644`
`37.`:flag_us:`_pandito_            640`
`38.`:flag_ca:`KingJ0444            634`
`39.`:flag_us:`McKiddy              613`
`40.`:flag_nl:`AardappelMASTER      612`
`41.`:flag_mx:`Mingura666           607`
`42.`:flag_es:`Kkntucara            589`
`43.`:flag_au:`mobius               585`
`44.`:flag_au:`Tenka                581`
`45.`:flag_us:`Zambrini             578`
`46.`:flag_us:`Tfresh               576`
`47.`:flag_us:`rusto                575`
`48.`:flag_us:`Rallis               573`
`48.`:flag_us:`NachoBrado           573`
`50.`:flag_kr:`PigRank              572`
`51.`:flag_fi:`ALZERI28             570`
`52.`:flag_us:`Zennan               562`
`53.`:flag_pl:`Tegron               558`
`54.`:united_nations:`silliest             557`
`55.`:flag_us:`Symystery            549`
`56.`:flag_us:`smartalec24          533`
`57.`:flag_us:`MarioMario7829       528`
`58.`:flag_us:`Spaceman             524`
`58.`:flag_de:`Nimputs              524`
`60.`:flag_mx:`Slevanas             518`
`61.`:flag_gb:`Elims                516`
`61.`:flag_us:`Maximum              516`
`63.`:flag_ca:`bendersrus           514`
`64.`:flag_us:`Tech                 512`
`65.`:flag_gb:`Really_Tall          508`
`66.`:flag_ca:`JokerTropical        506`
`67.`:united_nations:`InprisonedShadow     504`
`67.`:flag_be:`GroMic               504`
`69.`:flag_pl:`Shiro                501`
`70.`:flag_ca:`GrandMasterMario5000 500`
`71.`:flag_de:`JKxWinG              499`
`72.`:flag_ru:`HosteL               495`
`73.`:flag_kr:`Majoog               491`
`74.`:flag_gb:`Purple               489`
`75.`:flag_is:`Mipha                480`
`76.`:flag_us:`ShesChardcore        479`
`77.`:flag_vh:`zir0nic              476`
`77.`:flag_ca:`FFRPro21             476`
`77.`:flag_gb:`Punchy               476`
`77.`:flag_us:`Odme_                476`
`81.`:flag_us:`swordsmankirby       466`
`82.`:flag_us:`Dawgup               464`
`83.`:flag_fi:`Baconman12           463`
`84.`:flag_it:`dha                  460`
`85.`:flag_lv:`Blacksecret          458`
`86.`:flag_fr:`Mumu_Didi            449`
`87.`:flag_us:`Alexo                448`
`87.`:flag_ar:`revolucion           448`
`89.`:flag_us:`RubberDuckyAssassin  446`
`90.`:flag_vn:`SunShard             444`
`91.`:flag_de:`360Chrism            442`
`91.`:flag_fi:`Remo                 442`
`91.`:flag_ru:`Comrade_S            442`
`94.`:flag_us:`MetalString          440`
`95.`:flag_us:`Winslinator          438`
`96.`:flag_de:`BloodDerg            437`
`97.`:flag_eu:`toca                 435`
`97.`:flag_us:`Riko                 435`
`99.`:flag_ki:`fku_                 434`
`100.`:flag_de:`RunStrafe           429`
`101.`:flag_no:`Gnist               420`
`102.`:flag_ca:`Cads                418`
`103.`:flag_us:`lackattack          411`
`104.`:flag_gb:`CallBal             408`
`105.`:flag_us:`GLand               406`
`105.`:flag_jp:`Rupa                406`
`107.`:flag_bh:`Khalooody           404`
`108.`:flag_gb:`emrald              401`
`108.`:flag_us:`AndreaRovenski      401`
`110.`:flag_us:`TGH                 400`
`111.`:flag_pl:`MaximalMegaminx     398`
`111.`:flag_fi:`Herasmie            398`
`113.`:flag_gb:`Tethys              397`
`114.`:flag_us:`THiEF_HD            394`
`115.`:flag_tr:`AslanTZ             391`
