`1.`:flag_ru:`Akuretaki           19170`
`2.`:flag_us:`Otterstone_Gamer     8913`
`3.`:flag_ru:`daff                 7766`
`4.`:flag_ao:`stathx               6964`
`5.`:flag_us:`Fioresa              6105`
`6.`:flag_us:`ShesChardcore        5759`
`7.`:flag_jp:`killerkun...         5440`
`8.`:flag_us:`Act_                 4446`
`9.`:flag_br:`FelipeNascimento83   4232`
`10.`:flag_us:`dlimes13            4062`
`11.`:flag_us:`WookiesLA420        3936`
`12.`:flag_es:`Daxzz               3919`
`13.`:flag_ca:`Comical_            3638`
`14.`:flag_br:`LordParoah          3471`
`15.`:flag_us:`Zambrini            3391`
`16.`:flag_us:`Gaming_64           3051`
`17.`:flag_ca:`Jaypin88            2892`
`18.`:flag_th:`Zanum               2869`
`19.`:flag_us:`TRLittleToaster     2677`
`20.`:flag_ca:`4d9r                2596`
`21.`:flag_ro:`Bandi_              2578`
`22.`:flag_nl:`jensj56             2529`
`23.`:flag_us:`Cmdr                2494`
`24.`:flag_ru:`Comrade_Z           2449`
`25.`:flag_us:`MrMountainMan       2329`
`26.`:flag_pt:`Bluestonex64        2251`
`27.`:flag_tr:`AslanTZ             2200`
`28.`:flag_de:`RunStrafe           2167`
`29.`:flag_us:`VyPr                2062`
`30.`:flag_us:`FuriousFire201      1943`
`31.`:flag_ru:`zalex               1910`
`32.`:flag_cz:`Wolt1x              1907`
`33.`:flag_us:`astrolite           1862`
`34.`:flag_us:`McKiddy             1830`
`35.`:flag_us:`ThrasherDBS         1807`
`36.`:flag_gr:`pocogamer           1708`
`37.`:flag_se:`Nordanix            1666`
`37.`:flag_pl:`Darrel69            1666`
`39.`:flag_us:`grnts               1659`
`40.`:flag_hu:`Raid104             1619`
`41.`:flag_gb:`fwampy              1609`
`42.`:flag_us:`Aymbaut             1606`
`43.`:flag_nr:`Shinboy             1582`
`44.`:flag_ar:`Funado              1526`
`45.`:flag_us:`Benjams             1519`
`46.`:flag_br:`felipereis11011     1470`
`47.`:flag_es:`Kkntucara           1469`
`48.`:flag_id:`aeryuu              1415`
`49.`:flag_ru:`flashhh             1388`
`50.`:flag_us:`SRGTsilent          1379`
`51.`:flag_at:`rphxx               1312`
`52.`:flag_us:`Spaceman            1281`
`53.`:flag_ar:`PullMatrox          1261`
`54.`:flag_sg:`supercrazestar      1259`
`55.`:flag_us:`Jubilee             1226`
`56.`:flag_vh:`zir0nic             1208`
`57.`:flag_de:`nasuper             1200`
`58.`:flag_gb:`Elims               1194`
`59.`:flag_ca:`GrandMasterMario50001173`
`60.`:flag_us:`Sl0thboy78YT        1170`
`61.`:flag_jp:`DBcade              1113`
`62.`:flag_lv:`Blacksecret         1106`
`63.`:flag_ca:`Cads                1076`
`64.`:united_nations:`Snake5              1073`
`65.`:flag_us:`Icysnowman          1071`
`66.`:flag_ca:`7H3                 1050`
`67.`:flag_nl:`ssjoen              1046`
`68.`:flag_us:`JoePulito           1002`
`69.`:flag_mq:`Teoinator            975`
`70.`:flag_us:`Luvbaseball58        973`
`71.`:flag_us:`FlashGiant           969`
`72.`:flag_kr:`PigRank              950`
`73.`:flag_vh:`Sizzyl               945`
`74.`:flag_fr:`Awake                936`
`75.`:flag_us:`smartalec24          929`
`76.`:flag_au:`Klooger              923`
`77.`:flag_us:`themorgue            916`
`78.`:flag_de:`Nimputs              905`
`79.`:flag_nl:`AardappelMASTER      901`
`80.`:flag_pl:`Tegron               899`
`81.`:flag_us:`JDMI                 895`
`82.`:flag_gr:`Cytruss              891`
`83.`:flag_us:`Dugongue             874`
`84.`:flag_us:`CaptNinja6           854`
`85.`:flag_us:`Perna64              849`
`86.`:flag_us:`Tfresh               847`
`87.`:flag_us:`afnannen136          836`
`88.`:flag_us:`Dawgup               835`
`89.`:flag_ru:`Meegz                828`
`90.`:flag_us:`slippy318            812`
`91.`:flag_us:`WiiSuper             797`
`92.`:flag_ca:`DarQ                 790`
`93.`:flag_vn:`Tei                  785`
`94.`:flag_vn:`SunShard             780`
`95.`:flag_us:`DemonStalker         774`
`96.`:flag_ro:`duckle               773`
`97.`:flag_vh:`Naegi                772`
`98.`:flag_us:`McThumbs             769`
`99.`:united_nations:`MaouYumisu           761`
`100.`:flag_de:`katze789            745`
`101.`:flag_us:`CaneofPacci         734`
`102.`:flag_us:`THiEF_HD            729`
`103.`:flag_au:`diggity             722`
`104.`:flag_no:`Lezt                714`
`105.`:flag_au:`werster             713`
`106.`:flag_gb:`emrald              702`
`106.`:flag_br:`RitaH               702`
`108.`:flag_ca:`Th3on3C             697`
`109.`:flag_ca:`DiabolicalCuber     695`
