`1.`:flag_ru:`Akuretaki           16551`
`2.`:flag_us:`Otterstone_Gamer     7320`
`3.`:flag_ao:`stathx               6800`
`4.`:flag_ru:`daff                 5995`
`5.`:flag_us:`Fioresa              5904`
`6.`:flag_jp:`killerkun...         5046`
`7.`:flag_us:`dlimes13             4056`
`8.`:flag_br:`FelipeNascimento83   3835`
`9.`:flag_es:`Daxzz                3541`
`10.`:flag_us:`ShesChardcore       3401`
`11.`:flag_us:`Zambrini            3239`
`12.`:flag_us:`Act_                2930`
`13.`:flag_ca:`Comical_            2744`
`14.`:flag_br:`LordParoah          2725`
`15.`:flag_us:`WookiesLA420        2719`
`16.`:flag_us:`Gaming_64           2647`
`17.`:flag_ca:`Jaypin88            2540`
`18.`:flag_ro:`Bandi_              2328`
`19.`:flag_de:`RunStrafe           2099`
`20.`:flag_ru:`Comrade_Z           2049`
`21.`:flag_pt:`Bluestonex64        1962`
`22.`:flag_ca:`4d9r                1945`
`23.`:flag_us:`MrMountainMan       1879`
`24.`:flag_th:`Zanum               1854`
`25.`:flag_nl:`jensj56             1759`
`26.`:flag_tr:`AslanTZ             1725`
`27.`:flag_cz:`Wolt1x              1646`
`28.`:flag_us:`VyPr                1598`
`29.`:flag_us:`Aymbaut             1596`
`30.`:flag_nr:`Shinboy             1569`
`31.`:flag_gb:`fwampy              1523`
`32.`:flag_us:`McKiddy             1402`
`33.`:flag_se:`Nordanix            1382`
`33.`:flag_ru:`flashhh             1382`
`35.`:flag_br:`felipereis11011     1376`
`36.`:flag_us:`grnts               1351`
`37.`:flag_us:`astrolite           1349`
`38.`:flag_at:`rphxx               1261`
`39.`:flag_es:`Kkntucara           1248`
`40.`:flag_us:`ThrasherDBS         1231`
`41.`:flag_us:`FuriousFire201      1197`
`42.`:flag_ar:`PullMatrox          1183`
`43.`:flag_us:`Spaceman            1171`
`44.`:flag_de:`nasuper             1163`
`45.`:flag_us:`SRGTsilent          1156`
`46.`:flag_us:`Cmdr                1140`
`47.`:flag_us:`Jubilee             1108`
