:flag_fi:`Bloody                 100.0%`
:flag_ru:`VehicleRonald          99.58%`
:flag_in:`eeh_eeh                 97.3%`
:flag_us:`DlemmoR                96.74%`
:flag_fr:`Badaxis                96.34%`
:flag_jp:`konitama                96.1%`
:flag_us:`amazingpikachu_37      95.97%`
:flag_jp:`Val_JP                 95.67%`
:flag_us:`Kinighos               95.56%`
:flag_es:`KingBoo               94.92%`
:flag_us:`ZELLLOOO              94.48%`
:flag_jp:`Rupa                  94.28%`
:flag_se:`Chainsawkitten        93.98%`
:flag_us:`Aymbaut               93.77%`
:flag_us:`Gio1237               92.79%`
:flag_ca:`InsaneJetman          92.69%`
:flag_us:`qwertylool            92.59%`
:flag_es:`PabloDiazViolin       91.84%`
:flag_au:`ZenKih                91.15%`
:flag_cl:`Pandora               90.57%`
:flag_ca:`Cads                  90.44%`
:united_nations:`Tac0                   90.0%`
:united_nations:`MaouYumisu            89.87%`
:flag_ca:`N97_RVH               89.75%`
:flag_nr:`Shinboy               89.64%`
:flag_ca:`Tark                  89.55%`
:flag_us:`BlueRunsFast          89.38%`
:flag_nl:`Mawfeen               89.29%`
:flag_vh:`TransparentBlue        89.2%`
:flag_gb:`Pezzah                88.84%`
:flag_us:`CaneofPacci           88.63%`
:flag_gb:`Billy_Bob             88.45%`
:flag_do:`Teoinator             87.63%`
:flag_ru:`Vanilla_Raine          87.4%`
:flag_nl:`ssjoen                86.95%`
:flag_jp:`Temug                  86.2%`
:flag_ru:`alex2007              85.37%`
:flag_ph:`Octo                  84.95%`
:flag_at:`rphxx                 84.93%`
:flag_ru:`flashhh               84.53%`
:flag_us:`dlimes13              84.49%`
:flag_ca:`PVPCakers             84.23%`
:flag_us:`TheLemonyBard         84.11%`
:flag_ao:`stathx                84.03%`
:flag_dk:`Sirbrute              83.86%`
:flag_us:`Fioresa               83.73%`
:flag_fr:`ILoveUJos2e            83.5%`
:flag_us:`MetalString           82.81%`
:flag_us:`Msbmteam              82.31%`
:flag_us:`OneCoolMan            81.85%`
:flag_us:`TuckerStudios         81.63%`
:flag_us:`Zambrini              81.52%`
:flag_au:`RygelXVI               80.5%`
:flag_mx:`Slevanas              79.01%`
:flag_us:`pilferspitfire        78.66%`
:united_nations:`ripWSB                 78.6%`
:flag_gb:`CallBal               78.55%`
:flag_fi:`Toxcien               78.18%`
:united_nations:`Jaaay                 77.68%`
:flag_it:`ivanpaduano           77.65%`
:flag_ar:`revolucion            77.54%`
