`1.`:flag_ru:`Akuretaki            3618`
`2.`:flag_th:`Zanum                2683`
`3.`:flag_us:`Otterstone_Gamer     2575`
`4.`:flag_us:`ShesChardcore        2335`
`5.`:flag_us:`Cmdr                 1966`
`6.`:flag_ru:`daff                 1917`
`7.`:flag_us:`Fioresa              1823`
`8.`:flag_ru:`Comrade_Z            1634`
`9.`:flag_us:`smartalec24          1415`
`10.`:flag_us:`WookiesLA420        1340`
`11.`:flag_br:`FelipeNascimento83  1335`
`12.`:flag_ca:`Jaypin88            1309`
`13.`:flag_cl:`manticor5           1272`
`14.`:flag_us:`TRLittleToaster     1266`
`15.`:flag_us:`JoePulito           1246`
`16.`:flag_jp:`killerkun...        1211`
`17.`:flag_ro:`Bandi_              1193`
`18.`:flag_jp:`DBcade              1115`
`19.`:flag_pl:`kamil2050           1113`
`20.`:flag_us:`Luvbaseball58       1081`
`21.`:flag_kr:`plank               1010`
`22.`:flag_pl:`Darrel69            1003`
`23.`:flag_vh:`zir0nic              959`
`24.`:flag_ca:`KingJ0444            933`
`25.`:flag_mx:`Mingura666           905`
`26.`:flag_gb:`Hypnoshark           855`
`27.`:flag_nl:`jensj56              821`
`28.`:flag_ar:`PullMatrox           813`
`29.`:flag_pl:`Tegron               802`
`29.`:flag_us:`Zennan               802`
`31.`:flag_gb:`Elims                799`
`32.`:flag_us:`Zambrini             795`
`33.`:flag_gb:`LunaSpeed            793`
`34.`:flag_gb:`ViperUK              782`
`35.`:flag_us:`Peanutfan22          777`
`36.`:flag_ar:`Funado               768`
`37.`:flag_us:`Act_                 764`
`38.`:united_nations:`baldnate             751`
`38.`:flag_ca:`GrandMasterMario5000 751`
`40.`:flag_ca:`7H3                  748`
`41.`:flag_ru:`flashhh              741`
`42.`:flag_us:`RubberDuckyAssassin  735`
`43.`:flag_ca:`FFRPro21             727`
`44.`:flag_br:`LordParoah           724`
`45.`:flag_ru:`HosteL               718`
`46.`:flag_bh:`Khalooody            716`
`47.`:flag_ru:`Meegz                714`
`48.`:flag_us:`SHiFT                683`
`49.`:flag_us:`lackattack           676`
`50.`:flag_it:`dha                  665`
`51.`:flag_kr:`HIKARU               657`
`52.`:flag_us:`afnannen136          643`
`53.`:flag_ru:`zalex                637`
`54.`:flag_ca:`Comical_             631`
`55.`:flag_us:`SRGTsilent           629`
`56.`:flag_us:`NerdyNester          625`
`57.`:flag_us:`WiiSuper             624`
`58.`:flag_gr:`pocogamer            623`
`59.`:flag_us:`Riko                 621`
`60.`:flag_ca:`DiabolicalCuber      616`
`61.`:flag_de:`360Chrism            612`
`62.`:flag_ca:`bendersrus           601`
`62.`:flag_us:`Dugongue             601`
`64.`:flag_us:`VyPr                 600`
`65.`:flag_us:`Odme_                599`
`66.`:flag_us:`Alexo                585`
`67.`:flag_es:`JuegAriel            584`
`68.`:flag_us:`AndreaRovenski       575`
`69.`:flag_eo:`NihilistComedyHour   569`
`70.`:flag_de:`katze789             568`
`71.`:united_nations:`BOSSCAT              564`
`72.`:united_nations:`Machs2Point0         561`
`73.`:flag_gb:`Purple               559`
`73.`:flag_us:`Ecdycis              559`
`75.`:flag_gb:`Punchy               558`
`76.`:flag_sj:`Gardenia             555`
`76.`:flag_us:`swordsmankirby       555`
`78.`:flag_au:`Habble               549`
`78.`:flag_fi:`Baconman12           549`
`80.`:flag_us:`Bregermann           546`
`81.`:flag_au:`Tenka                542`
`82.`:flag_ca:`Walgrey              541`
`83.`:flag_us:`Maximum              526`
`83.`:flag_fr:`xerneas-yveltal      526`
`85.`:flag_nl:`Riekelt              512`
`86.`:flag_us:`mrcab55              510`
`87.`:flag_de:`Nimputs              509`
`87.`:flag_us:`PeterAfro            509`
`89.`:flag_fr:`DracaarysTrophy      508`
`90.`:flag_vn:`SunShard             506`
`91.`:flag_ca:`Th3on3C              505`
`92.`:flag_de:`BloodDerg            501`
`93.`:flag_us:`GLand                496`
`93.`:flag_gr:`Cytruss              496`
`95.`:flag_us:`Bat                  494`
`96.`:flag_fi:`Lyren                490`
`97.`:flag_us:`Tfresh               489`
`98.`:flag_us:`McKiddy              488`
`99.`:flag_us:`dlimes13             487`
`100.`:flag_us:`GarbitheGlitcheress 484`
`101.`:flag_kr:`Majoog              478`
`102.`:flag_br:`RitaH               477`
`103.`:flag_us:`Gaming_64           473`
`104.`:flag_gb:`Vapo                472`
`105.`:flag_us:`XandoToaster        468`
`105.`:flag_us:`grnts               468`
`107.`:flag_us:`ZeeGee_             466`
`108.`:flag_de:`MarvJungs           465`
`109.`:flag_us:`jackzfiml           462`
`110.`:flag_us:`Dawgup              461`
`111.`:flag_ca:`Rayquaza911         459`
