`1.`:flag_ru:`Akuretaki           16382`
`2.`:flag_ao:`stathx               7394`
`3.`:flag_us:`FuriousFire201       6871`
`4.`:flag_us:`Otterstone_Gamer     6804`
`5.`:flag_us:`Fioresa              6049`
`6.`:flag_ru:`daff                 5963`
`7.`:flag_jp:`killerkun...         5526`
`8.`:flag_us:`dlimes13             5289`
`9.`:flag_us:`ShesChardcore        3895`
`10.`:flag_es:`Daxzz               3871`
`11.`:flag_se:`Nordanix            3864`
`12.`:flag_us:`Act_                3814`
`13.`:flag_nl:`jensj56             3805`
`14.`:flag_ro:`duckle              3499`
`15.`:flag_ca:`Comical_            3304`
`16.`:flag_us:`Zambrini            3177`
`17.`:flag_br:`LordParoah          3051`
`18.`:flag_us:`WookiesLA420        2971`
`19.`:flag_br:`FelipeNascimento83  2905`
`20.`:flag_us:`MrMountainMan       2885`
`21.`:flag_us:`Gaming_64           2739`
`22.`:flag_de:`RunStrafe           2593`
`23.`:flag_ca:`4d9r                2586`
`24.`:flag_pt:`Bluestonex64        2310`
`25.`:flag_us:`Cmdr                2297`
`26.`:flag_tr:`AslanTZ             2268`
`27.`:flag_nr:`Shinboy             2158`
`28.`:flag_cz:`Wolt1x              2123`
`29.`:flag_us:`McKiddy             1955`
`30.`:flag_ro:`Bandi_              1949`
`31.`:flag_ca:`Jaypin88            1926`
`32.`:flag_us:`slippy318           1905`
`33.`:flag_gb:`fwampy              1873`
`34.`:flag_us:`VyPr                1855`
`35.`:flag_us:`ThrasherDBS         1838`
`36.`:flag_hu:`Raid104             1826`
`37.`:flag_es:`Kkntucara           1743`
`38.`:flag_us:`astrolite           1741`
`39.`:flag_br:`felipereis11011     1680`
`40.`:flag_us:`Spaceman            1614`
`41.`:flag_us:`Aymbaut             1557`
`42.`:flag_us:`Benjams             1555`
`43.`:flag_us:`SRGTsilent          1540`
`44.`:flag_us:`grnts               1526`
`45.`:flag_kr:`PigRank             1523`
`46.`:flag_us:`TRLittleToaster     1520`
`47.`:flag_id:`aeryuu              1514`
`48.`:flag_ru:`zalex               1490`
`49.`:flag_at:`rphxx               1450`
`50.`:flag_lv:`Blacksecret         1299`
`51.`:flag_ca:`Cads                1288`
`52.`:flag_ru:`Comrade_Z           1260`
`53.`:flag_de:`Nordicboa           1253`
`54.`:flag_au:`Klooger             1234`
`55.`:flag_de:`nasuper             1207`
`56.`:flag_gr:`pocogamer           1150`
`57.`:flag_us:`Sl0thboy78YT        1135`
`58.`:flag_us:`DlemmoR             1134`
`59.`:flag_us:`meauxdal            1119`
`60.`:flag_ar:`Funado              1118`
`61.`:flag_nl:`ssjoen              1105`
`62.`:flag_nl:`AardappelMASTER     1104`
`63.`:flag_fi:`ALZERI28            1100`
`64.`:flag_ca:`Th3on3C             1094`
`65.`:flag_pl:`Shiro               1088`
`66.`:flag_us:`WiiSuper            1083`
`67.`:flag_us:`themorgue           1077`
`68.`:flag_us:`JDMI                1070`
`69.`:united_nations:`silliest            1049`
`70.`:flag_sg:`supercrazestar      1047`
`71.`:flag_us:`_pandito_           1044`
`72.`:flag_pl:`Darrel69            1031`
`73.`:flag_us:`Icysnowman          1028`
`74.`:united_nations:`Snake5              1022`
`75.`:flag_mq:`Teoinator           1003`
`76.`:flag_fr:`Awake                988`
`77.`:flag_jp:`Rupa                 984`
`78.`:flag_nl:`Kaopoke              982`
`79.`:flag_be:`GroMic               975`
`80.`:flag_th:`Zanum                973`
`81.`:flag_us:`Tfresh               961`
`82.`:flag_gb:`emrald               956`
`83.`:flag_ca:`GrandMasterMario5000 946`
`84.`:flag_vn:`Tei                  939`
`85.`:flag_ch:`andypanther          931`
`86.`:flag_us:`Jubilee              925`
`87.`:flag_de:`Nimputs              921`
`88.`:flag_ru:`flashhh              900`
`89.`:flag_gb:`Elims                891`
`90.`:flag_us:`Perna64              876`
`91.`:flag_us:`DylCat               867`
`92.`:flag_il:`Yarmiplay            863`
`93.`:flag_us:`Dawgup               860`
`94.`:flag_us:`McThumbs             852`
`95.`:united_nations:`InprisonedShadow     851`
`96.`:flag_us:`lombre914            843`
`97.`:united_nations:`MaouYumisu           840`
`98.`:flag_de:`katze789             835`
`99.`:flag_bh:`PlatonicGuy          826`
`100.`:flag_us:`THiEF_HD            820`
`101.`:flag_de:`JKxWinG             802`
`102.`:flag_us:`Ben_eXceL           790`
`102.`:flag_us:`FlashGiant          790`
`104.`:flag_mx:`Slevanas            786`
`105.`:flag_jp:`MXF                 782`
`106.`:flag_vh:`zir0nic             757`
`107.`:flag_gb:`Vapo                726`
`108.`:flag_co:`SBells27            725`
`109.`:flag_vn:`SunShard            724`
`110.`:flag_ca:`Polonxy             723`
`111.`:flag_fi:`TuplaPekoni         713`
`112.`:flag_us:`MetalString         711`
`113.`:flag_us:`rusto               706`
`114.`:flag_us:`NachoBrado          703`
`115.`:flag_us:`Frost20             700`
`116.`:flag_us:`DemonStalker        697`
`117.`:flag_it:`Niloquì             689`
`118.`:flag_se:`ominij              688`
`119.`:flag_gb:`Really_Tall         686`
`120.`:flag_us:`Symystery           685`
`121.`:flag_gb:`CallBal             683`
`122.`:flag_us:`CaneofPacci         680`
`123.`:flag_au:`diggity             678`
`124.`:flag_fr:`Mumu_Didi           672`
`125.`:flag_jp:`BellumZeldaDS       658`
`126.`:flag_pl:`Tegron              655`
`127.`:flag_it:`Pikalex04           652`
`128.`:flag_au:`mobius              644`
`129.`:flag_no:`Lezt                641`
`130.`:flag_us:`Ianwubby            639`
`131.`:flag_us:`VegetaTheSaiyan8    630`
`132.`:flag_us:`Milkyway2000        624`
`133.`:flag_gb:`GhostLJK            622`
`134.`:flag_br:`WagnerBrasil        616`
`135.`:flag_vh:`Sizzyl              614`
`136.`:flag_ca:`bendersrus          606`
`137.`:flag_ad:`Dangaster           603`
`138.`:flag_ca:`DiabolicalCuber     596`
`138.`:flag_au:`RygelXVI            596`
`140.`:flag_us:`MarioMario7829      592`
`141.`:flag_us:`Rallis              583`
`142.`:flag_us:`afnannen136         578`
`142.`:flag_au:`werster             578`
`142.`:flag_pt:`PAULINHO_THE_GOAT   578`
`145.`:flag_ar:`PullMatrox          576`
`146.`:flag_fi:`Tomatobird8         572`
`146.`:flag_ee:`Uniwersal           572`
`148.`:flag_us:`Luvbaseball58       571`
`148.`:flag_fr:`Ninicodeme          571`
`148.`:flag_ph:`VentureMatical      571`
`151.`:flag_pl:`Xdxboxjaja          569`
`151.`:flag_ca:`Tark                569`
`153.`:flag_vh:`Naegi               544`
`154.`:flag_gr:`Cytruss             543`
`154.`:flag_fr:`neropse             543`
`156.`:flag_ca:`N97_RVH             541`
`157.`:flag_jp:`Temug               540`
`158.`:flag_gb:`Lew                 538`
`159.`:flag_us:`Msbmteam            536`
`160.`:flag_us:`Winslinator         535`
`161.`:flag_us:`Pear                534`
`162.`:flag_gb:`Tethys              530`
`163.`:flag_gb:`Mortar              529`
`164.`:flag_il:`Oreo321             528`
`165.`:flag_ee:`mediaa              524`
`166.`:flag_ar:`revolucion          519`
`167.`:flag_eu:`HowDenKing          515`
`168.`:united_nations:`Yuidesu             512`
`169.`:flag_ca:`DarQ                510`
`169.`:flag_us:`CaptNinja6          510`
`171.`:flag_us:`Xeon                509`
`172.`:flag_us:`Hydrus              508`
`172.`:united_nations:`Jaaay               508`
`172.`:flag_se:`Jackeking           508`
`175.`:flag_de:`YTKoopaPlayer       496`
`176.`:flag_us:`Jrjrdy16            493`
`177.`:flag_pl:`MaximalMegaminx     488`
`178.`:flag_us:`DarkerLord16        485`
`179.`:flag_in:`eeh_eeh             484`
`180.`:flag_us:`totol               483`
`181.`:flag_sj:`Gardenia            482`
`182.`:flag_us:`burninrubber0       480`
`183.`:flag_gb:`Mr.Blonde           478`
`184.`:flag_ca:`Walgrey             472`
`184.`:flag_us:`Zacc                472`
`184.`:flag_us:`PrayingMantisKungFu 472`
`187.`:flag_us:`Tech                471`
`187.`:flag_us:`kirbymastah         471`
`189.`:flag_us:`dantheman_6307      469`
`190.`:flag_gb:`StarrlightSims      466`
`191.`:flag_ar:`Phanton             465`
`192.`:flag_cz:`Ewil                464`
`193.`:flag_fr:`Vakala              463`
`194.`:flag_lb:`Gman369             458`
`194.`:flag_se:`MiBo                458`
`196.`:flag_eo:`Massive             457`
`197.`:flag_ca:`Marc-André_Morin    456`
`198.`:flag_us:`Oxknifer            452`
`199.`:flag_ca:`MannedTooth         451`
`200.`:flag_gb:`gayannabeth         441`
`201.`:flag_us:`MaverickAlmighty    438`
`202.`:flag_us:`qwertylool          437`
`203.`:flag_de:`MarlonH8            435`
`204.`:flag_gr:`TheNameless         430`
`205.`:flag_au:`Tenka               427`
`206.`:flag_se:`Chainsawkitten      426`
`207.`:flag_no:`thisishowmymindworks417`
`208.`:flag_it:`dha                 411`
`208.`:flag_us:`DarkSR3             411`
`210.`:flag_fi:`Remo                406`
`211.`:flag_tr:`Vador               405`
`212.`:flag_ca:`7H3                 404`
`213.`:flag_us:`Thog_n              403`
`213.`:flag_dk:`Sirbrute            403`
`215.`:flag_gb:`BlueWill            402`
`216.`:flag_au:`oNoobs              396`
`217.`:flag_vg:`KarixYT             394`
`217.`:flag_fi:`Bloody              394`
`219.`:flag_us:`Jason2890           392`
`220.`:flag_ch:`Fireball            390`
`221.`:flag_ru:`Yumashev            386`
`221.`:flag_us:`nicefighter         386`
`223.`:flag_us:`TheSensinator       385`
`224.`:flag_us:`Riidolsk            383`
`225.`:flag_us:`NinjaDelphox        381`
`226.`:flag_us:`Alexo               380`
`227.`:flag_us:`Bloon               379`
`228.`:flag_us:`OneCoolMan          378`
`228.`:flag_aq:`Eclipsed            378`
`228.`:flag_ie:`Flewb               378`
`231.`:flag_us:`Thomastd            375`
`232.`:flag_us:`Solderq35           373`
`233.`:flag_ca:`InsaneJetman        372`
`234.`:flag_fi:`Herasmie            368`
`235.`:flag_ru:`Tam1d               364`
`236.`:flag_eo:`NihilistComedyHour  361`
`237.`:flag_us:`Master9             358`
`238.`:flag_us:`Gio1237             357`
`239.`:flag_vh:`Tron_Javolta        355`
`240.`:flag_us:`Kinighos            352`
`241.`:flag_gb:`debiangamer256      349`
`241.`:flag_no:`Gnist               349`
`243.`:flag_us:`Maximum             344`
`244.`:flag_cl:`Pandora             340`
`245.`:flag_us:`BreadForBrunch      338`
`245.`:flag_gb:`Pezzah              338`
`247.`:flag_us:`jammitch            336`
`248.`:flag_fi:`Lyren               331`
`249.`:flag_us:`Dugongue            328`
`250.`:flag_us:`PoZitron            327`
`251.`:flag_ca:`hotrodzod           325`
`252.`:flag_us:`Plywood             324`
`253.`:flag_ru:`alex2007            319`
`253.`:flag_us:`amazingpikachu_37   319`
`255.`:flag_gb:`Kazadure            313`
`256.`:flag_us:`MortimerNova        310`
`257.`:flag_kr:`galaxyTDS           309`
`258.`:flag_ru:`Redlof              308`
`259.`:flag_pl:`coachen             307`
`259.`:flag_us:`MeesterTweester     307`
`259.`:flag_im:`epicdorito          307`
`262.`:flag_us:`TheLemonyBard       306`
`263.`:flag_au:`ZenKih              297`
`264.`:flag_us:`roblox8192          296`
`264.`:flag_us:`pilferspitfire      296`
`266.`:flag_se:`Freezard            289`
`267.`:flag_us:`Pidgey              288`
`268.`:flag_jp:`gotutiyan           286`
`269.`:flag_us:`RbdJellyfish        284`
`269.`:flag_jp:`Val_JP              284`
`271.`:flag_us:`bluerapids12        283`
`272.`:flag_us:`RileySFPc           282`
`273.`:flag_ca:`g0goTBC             281`
`274.`:flag_de:`Pronoob             278`
`274.`:flag_us:`Wavuvi              278`
`276.`:flag_fr:`Badaxis             276`
`277.`:flag_pl:`LupoLindsay         273`
`278.`:flag_ua:`pinkey              271`
`279.`:flag_nl:`Mawfeen             270`
`280.`:flag_ar:`MineXeniM           269`
`281.`:flag_ru:`Meegz               268`
`282.`:flag_ca:`Amaz                267`
`282.`:flag_us:`ZELLLOOO            267`
`284.`:flag_gb:`LunaSpeed           266`
`285.`:flag_pl:`terter              264`
`286.`:united_nations:`ripWSB              262`
`287.`:flag_kr:`HIKARU              260`
`287.`:flag_gb:`drgrumble           260`
