`1.`:flag_ru:`Akuretaki           20000`
`2.`:flag_us:`Otterstone_Gamer     9379`
`3.`:flag_ru:`daff                 7880`
`4.`:flag_us:`Fioresa              7872`
`5.`:flag_ao:`stathx               7608`
`6.`:flag_us:`FuriousFire201       6871`
`7.`:flag_jp:`killerkun...         6737`
`8.`:flag_us:`ShesChardcore        6230`
`9.`:flag_us:`dlimes13             5776`
`10.`:flag_nl:`jensj56             4626`
`11.`:flag_us:`Act_                4578`
`12.`:flag_us:`WookiesLA420        4311`
`13.`:flag_us:`Cmdr                4263`
`14.`:flag_br:`FelipeNascimento83  4240`
`15.`:flag_es:`Daxzz               4163`
`16.`:flag_se:`Nordanix            4008`
`17.`:flag_us:`Zambrini            3972`
`18.`:flag_ca:`Comical_            3935`
`19.`:flag_br:`LordParoah          3775`
`20.`:flag_th:`Zanum               3656`
`21.`:flag_ro:`duckle              3501`
`22.`:flag_ca:`Jaypin88            3235`
`23.`:flag_us:`Gaming_64           3212`
`24.`:flag_ro:`Bandi_              3142`
`25.`:flag_us:`MrMountainMan       3058`
`26.`:flag_ca:`4d9r                2967`
`27.`:flag_ru:`Comrade_Z           2894`
`28.`:flag_us:`TRLittleToaster     2786`
`29.`:flag_de:`RunStrafe           2608`
`30.`:flag_tr:`AslanTZ             2592`
`31.`:flag_us:`VyPr                2455`
`32.`:flag_pt:`Bluestonex64        2453`
`33.`:flag_nr:`Shinboy             2444`
`34.`:flag_us:`McKiddy             2443`
`35.`:flag_us:`ThrasherDBS         2270`
`36.`:flag_cz:`Wolt1x              2185`
`37.`:flag_us:`SRGTsilent          2169`
`38.`:flag_us:`slippy318           2138`
`39.`:flag_ru:`zalex               2127`
`40.`:flag_es:`Kkntucara           2059`
`41.`:flag_pl:`Darrel69            2034`
`42.`:flag_us:`astrolite           2025`
`43.`:flag_us:`Aymbaut             2006`
`44.`:flag_us:`grnts               1994`
`45.`:flag_gb:`fwampy              1945`
`46.`:flag_ar:`Funado              1886`
`47.`:flag_hu:`Raid104             1864`
`48.`:flag_us:`Benjams             1819`
`49.`:flag_us:`Spaceman            1805`
`50.`:flag_br:`felipereis11011     1778`
`51.`:flag_gr:`pocogamer           1773`
`52.`:flag_vh:`zir0nic             1716`
`53.`:flag_us:`WiiSuper            1707`
`54.`:flag_ca:`GrandMasterMario50001697`
`55.`:flag_gb:`Elims               1690`
`56.`:flag_us:`Luvbaseball58       1652`
`57.`:flag_ru:`flashhh             1641`
`58.`:flag_au:`Klooger             1601`
`59.`:flag_ca:`Th3on3C             1599`
`60.`:flag_id:`aeryuu              1598`
`61.`:flag_lv:`Blacksecret         1567`
`62.`:flag_at:`rphxx               1564`
`63.`:flag_nl:`AardappelMASTER     1524`
`64.`:flag_kr:`PigRank             1523`
`65.`:flag_ca:`Cads                1499`
`66.`:flag_us:`smartalec24         1463`
`67.`:flag_sg:`supercrazestar      1461`
`68.`:flag_pl:`Tegron              1457`
`69.`:flag_us:`Tfresh              1450`
`70.`:flag_de:`Nimputs             1430`
`71.`:flag_de:`katze789            1403`
`72.`:flag_ar:`PullMatrox          1389`
`73.`:flag_us:`Icysnowman          1376`
`74.`:flag_de:`Nordicboa           1339`
`75.`:flag_us:`meauxdal            1324`
`76.`:flag_us:`Dawgup              1321`
`77.`:flag_us:`Jubilee             1309`
`78.`:flag_pl:`kamil2050           1280`
`79.`:flag_cl:`manticor5           1272`
`80.`:flag_us:`JoePulito           1268`
`81.`:flag_fi:`ALZERI28            1253`
`82.`:flag_vn:`SunShard            1230`
`83.`:flag_de:`nasuper             1224`
`84.`:flag_us:`afnannen136         1221`
`85.`:flag_nl:`ssjoen              1213`
`86.`:flag_ca:`DiabolicalCuber     1212`
`87.`:flag_ca:`bendersrus          1207`
`88.`:flag_us:`DlemmoR             1202`
`89.`:flag_gb:`Vapo                1198`
`90.`:flag_us:`DylCat              1191`
`91.`:flag_us:`JDMI                1174`
`92.`:flag_us:`Sl0thboy78YT        1171`
`93.`:flag_jp:`DBcade              1155`
`94.`:flag_ca:`7H3                 1152`
`95.`:flag_kr:`plank               1151`
`95.`:united_nations:`Snake5              1151`
`97.`:flag_de:`JKxWinG             1147`
`98.`:united_nations:`InprisonedShadow    1138`
`99.`:flag_mq:`Teoinator           1137`
`100.`:united_nations:`MaouYumisu         1127`
`101.`:flag_us:`THiEF_HD           1125`
`102.`:flag_gb:`emrald             1111`
`102.`:flag_us:`Symystery          1111`
`104.`:flag_us:`FlashGiant         1106`
`105.`:flag_us:`themorgue          1101`
`106.`:flag_pl:`Shiro              1088`
`107.`:united_nations:`silliest           1081`
`108.`:flag_it:`dha                1076`
`109.`:flag_au:`diggity            1074`
`110.`:flag_vn:`Tei                1068`
`111.`:flag_jp:`Rupa               1061`
`112.`:flag_gb:`LunaSpeed          1059`
`113.`:flag_mx:`Slevanas           1050`
`114.`:flag_us:`_pandito_          1046`
`115.`:flag_us:`rusto              1043`
`116.`:flag_gr:`Cytruss            1039`
`117.`:flag_sj:`Gardenia           1037`
`118.`:flag_us:`Rallis             1026`
`118.`:flag_vh:`Sizzyl             1026`
`120.`:flag_us:`McThumbs           1025`
`121.`:flag_us:`DemonStalker       1016`
`122.`:flag_ca:`Walgrey            1013`
`123.`:flag_ch:`andypanther         999`
`124.`:flag_nl:`Kaopoke             995`
`125.`:flag_fr:`Awake               991`
`126.`:flag_ru:`Meegz               982`
`127.`:flag_ca:`KingJ0444           980`
`128.`:flag_be:`GroMic              975`
`129.`:flag_il:`Yarmiplay           973`
`130.`:flag_au:`Tenka               969`
`131.`:flag_us:`Perna64             965`
`131.`:flag_us:`Alexo               965`
`133.`:flag_us:`Frost20             963`
`134.`:flag_us:`Ianwubby            957`
`134.`:united_nations:`Yuidesu             957`
`136.`:flag_au:`werster             951`
`137.`:flag_us:`CaptNinja6          949`
`138.`:flag_us:`NachoBrado          944`
`139.`:flag_ca:`DarQ                934`
`140.`:flag_eo:`NihilistComedyHour  930`
`141.`:flag_us:`Dugongue            929`
`142.`:flag_us:`Ben_eXceL           927`
`143.`:flag_kr:`HIKARU              917`
`144.`:flag_us:`Zennan              916`
`145.`:flag_vh:`Naegi               914`
`146.`:flag_mx:`Mingura666          913`
`147.`:flag_us:`Pear                900`
`148.`:flag_au:`mobius              899`
`149.`:flag_bh:`Khalooody           898`
`150.`:flag_br:`WagnerBrasil        892`
`151.`:flag_jp:`BellumZeldaDS       889`
`152.`:flag_ph:`VentureMatical      879`
`153.`:flag_fr:`Mumu_Didi           875`
`154.`:flag_us:`Maximum             870`
`155.`:flag_us:`lombre914           868`
`156.`:flag_no:`Lezt                864`
`157.`:flag_gb:`Hypnoshark          863`
`158.`:flag_gb:`ViperUK             861`
`159.`:flag_bh:`PlatonicGuy         860`
`160.`:flag_us:`Oxknifer            857`
`161.`:flag_au:`oNoobs              849`
`162.`:flag_us:`Peanutfan22         848`
`163.`:flag_us:`RubberDuckyAssassin 846`
`164.`:flag_jp:`MXF                 845`
