`1.`:flag_us:`dlimes13                63898h 14m 03s`
`2.`:flag_au:`RygelXVI                23049h 56m 33s`
`3.`:flag_bh:`PlatonicGuy             11331h 16m 25s`
`4.`:flag_us:`SRGTsilent               7569h 30m 35s`
`5.`:flag_ru:`alex2007                 7459h 44m 08s`
`6.`:flag_se:`Nordanix                 5730h 07m 23s`
`7.`:flag_ca:`KingJ0444                3029h 44m 44s`
`8.`:flag_us:`Odme_                    2731h 22m 41s`
`9.`:flag_se:`ominij                   2357h 47m 07s`
`10.`:flag_gb:`Hypnoshark              2037h 10m 24s`
`11.`:flag_de:`BloodDerg               1985h 08m 09s`
`12.`:flag_de:`MarlonH8                1824h 38m 29s`
`13.`:flag_de:`360Chrism               1801h 55m 10s`
`14.`:flag_us:`RubberDuckyAssassin     1481h 26m 40s`
`15.`:flag_ca:`P4ntz                   1459h 55m 11s`
`16.`:flag_us:`Riko                    1403h 13m 49s`
`17.`:flag_us:`WiiSuper                1387h 08m 32s`
`18.`:flag_de:`MarvJungs               1376h 45m 14s`
`19.`:flag_us:`Bregermann              1333h 57m 30s`
`20.`:flag_fi:`Baconman12              1294h 52m 56s`
`21.`:flag_ru:`sWinTuZ                 1294h 13m 53s`
`22.`:flag_us:`DarkSR3                 1250h 05m 08s`
`23.`:flag_gb:`ViperUK                 1039h 52m 27s`
`24.`:flag_nl:`Eponumos                1017h 37m 33s`
`25.`:flag_us:`AndreaRovenski           989h 02m 24s`
`26.`:flag_no:`Gnist                    964h 31m 38s`
`27.`:flag_us:`robthegamer115           964h 00m 23s`
`28.`:flag_au:`werster                  963h 35m 19s`
`29.`:flag_us:`Cmdr                     953h 08m 40s`
`30.`:flag_nl:`jensj56                  935h 31m 42s`
`31.`:flag_us:`Tfresh                   904h 47m 43s`
`32.`:flag_es:`JuegAriel                876h 42m 30s`
`33.`:flag_us:`XandoToaster             803h 45m 34s`
`34.`:flag_gb:`gayannabeth              785h 59m 46s`
`35.`:flag_ca:`Deln                     785h 34m 16s`
`36.`:flag_nl:`Riekelt                  758h 22m 36s`
`37.`:flag_us:`Luvbaseball58            740h 32m 57s`
`38.`:flag_ca:`g0goTBC                  732h 03m 05s`
`39.`:flag_ru:`Akuretaki                730h 34m 43s`
`40.`:flag_ca:`DiabolicalCuber          716h 37m 02s`
`41.`:flag_us:`smartalec24              694h 10m 51s`
`42.`:flag_th:`Zanum                    678h 23m 34s`
`43.`:united_nations:`Yuidesu                  646h 53m 17s`
`44.`:flag_gb:`Purple                   638h 42m 17s`
`45.`:flag_us:`Mchan338                 635h 05m 13s`
`46.`:flag_us:`lackattack               631h 29m 21s`
`47.`:flag_fi:`Remo                     628h 19m 56s`
`48.`:flag_nl:`AardappelMASTER          610h 46m 18s`
`49.`:flag_us:`Ecdycis                  585h 46m 40s`
`50.`:flag_de:`katze789                 582h 52m 12s`
`51.`:flag_au:`AeonFrodo                582h 45m 39s`
`52.`:flag_us:`SHiFT                    579h 55m 58s`
`53.`:flag_aq:`Mattmatt                 550h 47m 18s`
`54.`:flag_pl:`kamil2050                549h 03m 52s`
`55.`:flag_de:`JKxWinG                  542h 36m 12s`
`56.`:flag_us:`Jcool114                 540h 53m 03s`
`57.`:flag_ru:`Redlof                   521h 55m 58s`
`58.`:flag_mx:`Mingura666               515h 48m 02s`
`59.`:united_nations:`infinitemystery          507h 15m 54s`
`60.`:flag_jp:`BellumZeldaDS            506h 51m 09s`
`61.`:flag_jp:`Tonkotsu                 503h 48m 19s`
`62.`:flag_gb:`Vapo                     496h 48m 54s`
`63.`:flag_dk:`Daniel_1RD               494h 51m 08s`
`64.`:flag_nl:`Kinnin11                 494h 17m 52s`
`65.`:flag_gb:`Punchy                   489h 58m 27s`
`66.`:flag_us:`mrcab55                  486h 52m 19s`
`67.`:flag_au:`Klooger                  480h 37m 13s`
`68.`:flag_eu:`toca                     478h 17m 34s`
`69.`:flag_us:`swordsmankirby           472h 00m 48s`
`70.`:flag_us:`NickDoane                467h 00m 15s`
`71.`:flag_gb:`RebelDragon95            459h 17m 48s`
`72.`:flag_us:`TGH                      454h 49m 13s`
`73.`:flag_cl:`manticor5                451h 31m 13s`
`74.`:flag_br:`FelipeNascimento83       451h 02m 58s`
`75.`:flag_us:`Kevy1885                 448h 02m 33s`
`76.`:flag_us:`blipblo                  446h 20m 19s`
`77.`:flag_au:`A1Major                  436h 12m 47s`
`78.`:flag_de:`Nimputs                  404h 56m 50s`
`79.`:flag_us:`alaris                   402h 40m 39s`
`80.`:flag_kr:`Majoog                   400h 17m 26s`
`81.`:flag_us:`Icysnowman               398h 07m 07s`
