`1.`:flag_us:`adward1              1509`
`2.`:flag_us:`Fioresa              1336`
`3.`:flag_ru:`Comrade_S            1117`
`4.`:flag_ca:`Akuretaki            1014`
`5.`:flag_us:`Otterstone_Gamer      731`
`6.`:flag_ru:`daff                  613`
`7.`:flag_br:`FelipeNascimento83    573`
`8.`:flag_ca:`Jaypin88              561`
`9.`:flag_ar:`PullMatrox            522`
`10.`:flag_jp:`DBcade               498`
`11.`:flag_ru:`flashhh              377`
`12.`:flag_us:`ShesChardcore        310`
`13.`:flag_us:`WookiesLA420         304`
`14.`:flag_us:`dlimes13             288`
`15.`:flag_jp:`killerkun...         287`
`16.`:flag_bh:`Khalooody            273`
`17.`:flag_vh:`zir0nic              272`
`18.`:flag_th:`Zanum                266`
`19.`:flag_kr:`plank                265`
`20.`:flag_us:`Zambrini             261`
`21.`:flag_us:`Aymbaut              249`
`22.`:flag_ru:`Meegz                233`
`23.`:flag_ki:`fku_                 225`
`24.`:flag_it:`ivanpaduano          224`
`25.`:flag_us:`Jubilee              216`
`26.`:flag_cl:`manticor5            207`
`27.`:flag_gb:`ViperUK              182`
`28.`:flag_br:`RitaH                181`
`29.`:flag_ca:`Walgrey              167`
`30.`:united_nations:`Yuidesu              159`
`31.`:flag_us:`Peanutfan22          151`
`32.`:flag_us:`RubberDuckyAssassin  148`
`33.`:united_nations:`baldnate             146`
`33.`:united_nations:`Tac0                 146`
`35.`:flag_ru:`HosteL               142`
`36.`:flag_pt:`_hampter_            141`
`37.`:flag_us:`VyPr                 139`
`37.`:flag_jp:`konitama             139`
`39.`:flag_ca:`Comical_             136`
`40.`:united_nations:`B0SSCAT              133`
`41.`:flag_br:`LordParoah           132`
`41.`:united_nations:`MaouYumisu           132`
`43.`:flag_it:`dha                  131`
`44.`:flag_nl:`Eponumos             130`
`45.`:flag_ca:`GrandMasterMario5000 127`
`46.`:flag_au:`Klooger              124`
`46.`:flag_us:`JoePulito            124`
`46.`:flag_au:`A1Major              124`
`46.`:flag_ru:`Aiivan               124`
`50.`:flag_vn:`SunShard             120`
`50.`:flag_au:`oNoobs               120`
`52.`:flag_es:`Kkntucara            116`
`52.`:flag_ar:`Funado               116`
`52.`:flag_us:`Tfresh               116`
`55.`:flag_no:`Lezzy                115`
`56.`:flag_us:`TuckerStudios        114`
