`1.`:flag_ru:`Akuretaki           11122`
`2.`:flag_ao:`stathx               5692`
`3.`:flag_us:`Otterstone_Gamer     4071`
`4.`:flag_us:`Fioresa              3791`
`5.`:flag_jp:`killerkun...         3618`
`6.`:flag_us:`dlimes13             3320`
`7.`:flag_ru:`daff                 3295`
`8.`:flag_es:`Daxzz                2826`
`9.`:flag_br:`FelipeNascimento83   2554`
`10.`:flag_us:`Zambrini            2498`
`11.`:flag_br:`LordParoah          1999`
`12.`:flag_us:`Gaming_64           1922`
`13.`:flag_de:`RunStrafe           1459`
`14.`:flag_ro:`Bandi_              1426`
`15.`:flag_ca:`Comical_            1391`
`16.`:flag_nr:`Shinboy             1319`
`17.`:flag_ca:`4d9r                1234`
`18.`:flag_us:`Aymbaut             1221`
`19.`:flag_us:`Act_                1209`
`19.`:flag_us:`WookiesLA420        1209`
`21.`:flag_us:`McKiddy             1180`
`22.`:flag_at:`rphxx               1095`
`23.`:flag_pt:`Bluestonex64        1066`
`24.`:flag_nl:`jensj56             1055`
`25.`:flag_cz:`Wolt1x              1041`
`26.`:flag_gb:`fwampy              1016`
`27.`:flag_ca:`Jaypin88            1011`
`28.`:flag_us:`ShesChardcore       1006`
`29.`:flag_ca:`Cads                 990`
`30.`:flag_us:`grnts                901`
`31.`:flag_de:`nasuper              856`
`32.`:flag_ru:`flashhh              851`
`33.`:flag_nl:`ssjoen               845`
`34.`:flag_se:`Nordanix             826`
`34.`:flag_us:`VyPr                 826`
`36.`:flag_tr:`AslanTZ              806`
`37.`:flag_br:`felipereis11011      785`
`38.`:flag_mq:`Teoinator            772`
`39.`:flag_kr:`PigRank              750`
`40.`:flag_lv:`Blacksecret          721`
`41.`:flag_us:`Benjams              718`
`42.`:flag_us:`Spaceman             695`
`43.`:flag_us:`Jubilee              676`
`44.`:flag_us:`CaneofPacci          628`
`45.`:flag_us:`SRGTsilent           621`
`46.`:flag_us:`JDMI                 620`
`47.`:flag_us:`astrolite            619`
`48.`:flag_us:`Icysnowman           614`
`49.`:flag_us:`ThrasherDBS          613`
`50.`:flag_es:`Kkntucara            612`
`51.`:flag_jp:`Rupa                 595`
`52.`:united_nations:`MaouYumisu           554`
`53.`:flag_us:`themorgue            553`
`54.`:flag_gr:`pocogamer            520`
`55.`:flag_th:`Zanum                514`
`56.`:flag_vn:`Tei                  507`
`57.`:flag_de:`katze789             479`
`58.`:flag_ru:`zalex                475`
`59.`:flag_vn:`SunShard             469`
`60.`:flag_au:`RygelXVI             466`
`61.`:flag_sg:`supercrazestar       450`
`62.`:flag_us:`Cmdr                 445`
`63.`:flag_fi:`ALZERI28             440`
`64.`:flag_fr:`Awake                436`
`65.`:flag_ca:`Polonxy              433`
`66.`:flag_ar:`PullMatrox           427`
`67.`:flag_no:`Lezt                 424`
`68.`:flag_us:`Tfresh               423`
`69.`:flag_us:`FlashGiant           412`
`70.`:flag_jp:`Temug                403`
`71.`:flag_us:`slippy318            395`
`72.`:flag_us:`FuriousFire201       393`
`73.`:flag_us:`DlemmoR              390`
`74.`:flag_ca:`Tark                 388`
`75.`:flag_ca:`N97_RVH              386`
`76.`:flag_se:`Chainsawkitten       381`
`77.`:flag_jp:`MXF                  364`
`78.`:flag_us:`Perna64              360`
`78.`:flag_us:`DemonStalker         360`
`80.`:flag_au:`Klooger              355`
`81.`:flag_us:`lombre914            347`
`82.`:flag_us:`Msbmteam             346`
`83.`:flag_de:`JKxWinG              343`
`84.`:flag_ca:`GrandMasterMario5000 337`
`85.`:flag_gb:`emrald               332`
`86.`:flag_us:`DarkerLord16         328`
`87.`:flag_mx:`Slevanas             322`
`88.`:flag_vh:`Sizzyl               321`
`88.`:flag_it:`Niloquì              321`
`90.`:flag_us:`THiEF_HD             317`
`91.`:flag_au:`werster              302`
`92.`:flag_ro:`duckle               300`
`93.`:flag_us:`Ben_eXceL            288`
`94.`:flag_vh:`zir0nic              287`
