`1.`:flag_ru:`Akuretaki           12365`
`2.`:flag_ao:`stathx               5811`
`3.`:flag_us:`Fioresa              5121`
`4.`:flag_us:`Otterstone_Gamer     4778`
`5.`:flag_jp:`killerkun...         3975`
`6.`:flag_ru:`daff                 3904`
`7.`:flag_us:`dlimes13             3608`
`8.`:flag_br:`FelipeNascimento83   3166`
`9.`:flag_es:`Daxzz                2869`
`10.`:flag_us:`Zambrini            2769`
`11.`:flag_us:`Gaming_64           2145`
`12.`:flag_br:`LordParoah          2129`
`13.`:flag_ro:`Bandi_              2093`
`14.`:flag_ca:`Jaypin88            1647`
`15.`:flag_ca:`Comical_            1522`
`16.`:flag_us:`WookiesLA420        1516`
`17.`:flag_us:`Aymbaut             1502`
`18.`:flag_de:`RunStrafe           1468`
`19.`:flag_ru:`Comrade_Z           1433`
`20.`:flag_nr:`Shinboy             1415`
`21.`:flag_us:`ShesChardcore       1347`
`22.`:flag_ru:`flashhh             1334`
`23.`:flag_ca:`4d9r                1324`
`24.`:flag_us:`Act_                1295`
`25.`:flag_us:`McKiddy             1275`
`26.`:flag_nl:`jensj56             1180`
`27.`:flag_th:`Zanum               1136`
`28.`:flag_at:`rphxx               1133`
`29.`:flag_pt:`Bluestonex64        1090`
`30.`:flag_cz:`Wolt1x              1067`
`31.`:flag_us:`grnts               1049`
`32.`:flag_gb:`fwampy              1043`
`33.`:flag_ca:`Cads                1034`
`34.`:flag_us:`VyPr                1012`
`35.`:flag_ar:`PullMatrox           985`
`36.`:flag_nl:`ssjoen               899`
`37.`:flag_us:`Jubilee              892`
`38.`:flag_de:`nasuper              870`
`39.`:flag_tr:`AslanTZ              866`
`40.`:flag_mq:`Teoinator            859`
`41.`:flag_se:`Nordanix             856`
`42.`:flag_br:`felipereis11011      816`
`43.`:flag_lv:`Blacksecret          765`
`44.`:flag_kr:`PigRank              750`
`45.`:flag_us:`Benjams              748`
`46.`:flag_us:`ThrasherDBS          739`
`47.`:flag_es:`Kkntucara            729`
`48.`:flag_us:`SRGTsilent           725`
`49.`:flag_us:`Spaceman             709`
`49.`:flag_us:`Icysnowman           709`
`51.`:united_nations:`MaouYumisu           686`
`52.`:flag_gr:`pocogamer            659`
`53.`:flag_us:`JDMI                 658`
`54.`:flag_us:`CaneofPacci          650`
`55.`:flag_us:`astrolite            630`
`56.`:flag_jp:`DBcade               617`
`57.`:flag_vn:`SunShard             612`
`58.`:flag_jp:`Rupa                 597`
`59.`:flag_vh:`zir0nic              586`
`60.`:flag_us:`themorgue            564`
`61.`:flag_de:`katze789             555`
`62.`:flag_us:`Tfresh               554`
`63.`:flag_us:`FlashGiant           550`
`64.`:flag_ru:`zalex                543`
`65.`:flag_no:`Lezt                 541`
`66.`:flag_vn:`Tei                  535`
`67.`:flag_us:`Cmdr                 528`
`68.`:flag_sg:`supercrazestar       526`
`69.`:flag_ca:`GrandMasterMario5000 516`
`70.`:flag_au:`Klooger              480`
`71.`:flag_ca:`Polonxy              466`
`71.`:flag_au:`RygelXVI             466`
`73.`:flag_fi:`ALZERI28             458`
`74.`:flag_de:`JKxWinG              441`
`75.`:flag_fr:`Awake                438`
`76.`:flag_us:`DemonStalker         426`
`77.`:flag_us:`CaptNinja6           424`
`78.`:flag_jp:`Temug                420`
`79.`:flag_us:`slippy318            418`
`79.`:flag_mx:`Slevanas             418`
`81.`:flag_us:`THiEF_HD             413`
`81.`:flag_ca:`Tark                 413`
`83.`:flag_us:`DlemmoR              412`
`84.`:flag_au:`werster              406`
`85.`:flag_br:`RitaH                399`
`86.`:flag_se:`Chainsawkitten       398`
`87.`:flag_us:`FuriousFire201       393`
`88.`:flag_ca:`N97_RVH              386`
`89.`:united_nations:`BOSSCAT              378`
`90.`:flag_jp:`MXF                  370`
`91.`:flag_gb:`emrald               367`
`92.`:flag_us:`Perna64              365`
`93.`:flag_us:`DarkerLord16         364`
`93.`:flag_ee:`mediaa               364`
`95.`:flag_ca:`Walgrey              361`
`96.`:flag_us:`Msbmteam             356`
`97.`:flag_pl:`Tegron               351`
`98.`:flag_bh:`Khalooody            350`
`98.`:flag_us:`lombre914            350`
`100.`:flag_us:`DylCat              346`
`101.`:flag_vh:`Sizzyl              344`
`102.`:flag_br:`WagnerBrasil        343`
`103.`:flag_us:`TRLittleToaster     338`
`104.`:flag_ru:`Meegz               336`
`105.`:flag_it:`Niloquì             333`
`106.`:united_nations:`Yuidesu             330`
`107.`:flag_kr:`plank               329`
`108.`:flag_il:`Yarmiplay           328`
`109.`:united_nations:`InprisonedShadow    325`
`110.`:flag_se:`ominij              317`
`111.`:flag_us:`Ben_eXceL           312`
`112.`:flag_ar:`Funado              309`
`112.`:flag_jp:`Val_JP              309`
`114.`:flag_ro:`duckle              300`
`115.`:flag_ar:`Phanton             297`
`116.`:flag_au:`oNoobs              292`
`117.`:flag_us:`Dawgup              290`
`118.`:flag_in:`eeh_eeh             288`
`119.`:flag_us:`VegetaTheSaiyan8    287`
`120.`:flag_gb:`Lew                 285`
`121.`:flag_us:`Gio1237             282`
`122.`:united_nations:`Jaaay               280`
`123.`:flag_ca:`Th3on3C             278`
`124.`:flag_it:`ivanpaduano         277`
`125.`:flag_pl:`Darrel69            276`
`125.`:flag_us:`OneCoolMan          276`
`127.`:flag_cl:`manticor5           273`
`128.`:flag_eu:`HowDenKing          271`
`128.`:flag_us:`Thomastd            271`
`130.`:flag_fi:`TuplaPekoni         270`
`131.`:flag_bh:`PlatonicGuy         269`
`132.`:flag_us:`qwertylool          268`
`133.`:flag_gb:`Mortar              267`
`134.`:flag_us:`rusto               262`
`135.`:flag_hu:`Raid104             259`
`135.`:flag_cz:`Ewil                259`
`135.`:flag_fr:`Ninicodeme          259`
`135.`:flag_ru:`alex2007            259`
`139.`:flag_us:`MetalString         257`
`139.`:flag_us:`pilferspitfire      257`
`141.`:flag_ca:`MrCakers            256`
`141.`:flag_gb:`Pezzah              256`
`143.`:flag_fi:`Lyren               252`
`144.`:flag_us:`Kinighos            251`
`145.`:flag_ca:`DiabolicalCuber     249`
`146.`:flag_jp:`gotutiyan           248`
`147.`:flag_gb:`Elims               246`
`147.`:flag_de:`MarlonH8            246`
`149.`:flag_ca:`InsaneJetman        245`
`150.`:flag_it:`dha                 241`
`150.`:flag_us:`amazingpikachu_37   241`
`152.`:flag_us:`McThumbs            240`
`153.`:flag_us:`PrayingMantisKungFu 239`
`154.`:united_nations:`ripWSB              237`
`155.`:flag_us:`Sl0thboy78YT        235`
`156.`:flag_ca:`bendersrus          234`
`156.`:flag_gb:`ViperUK             234`
`158.`:flag_nl:`AardappelMASTER     233`
`158.`:flag_ru:`VehicleRonald       233`
`160.`:flag_us:`WiiSuper            231`
`161.`:flag_us:`Zacc                229`
`162.`:flag_nl:`Mawfeen             225`
`163.`:flag_gb:`Billy_Bob           222`
`164.`:flag_us:`Oxknifer            221`
`165.`:flag_us:`Alexo               220`
`165.`:flag_au:`mobius              220`
`165.`:flag_us:`nicefighter         220`
`168.`:flag_us:`MrMountainMan       219`
`169.`:flag_ee:`Uniwersal           217`
`169.`:flag_pl:`Xdxboxjaja          217`
`169.`:flag_ru:`Tam1d               217`
`172.`:flag_gb:`CallBal             216`
`172.`:flag_ph:`VentureMatical      216`
`174.`:flag_il:`Oreo321             214`
`175.`:flag_fi:`Tomatobird8         213`
`175.`:flag_dk:`Sirbrute            213`
`177.`:flag_us:`Frost20             210`
`177.`:flag_us:`Winslinator         210`
`179.`:flag_ph:`Octo                209`
`180.`:flag_us:`Milkyway2000        205`
`181.`:flag_ad:`Dangaster           204`
